Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1926;1852;;;21892;21142;;
5;-90;;;;;1923;1850;;;21871;21121;;
10;-90;;;;;1910;1839;;;21750;21002;;
15;-90;;;;;1890;1822;;;21555;20811;;
20;-90;;;;;1862;1797;;;21266;20528;;
25;-90;;;;;1826;1765;;;20893;20164;;
30;-90;;;;;1788;1729;;;20483;19765;;
35;-90;;;;;1741;1684;;;19971;19267;;
40;-90;;;;;1688;1633;;;19399;18709;;
45;-90;;;;;1636;1583;;;18825;18152;;
50;-90;;;;;1575;1522;;;18135;17480;;
55;-90;;;;;1508;1458;;;17407;16772;;
60;-90;;;;;1446;1396;;;16707;16091;;
65;-90;;;;;1374;1324;;;15883;15289;;
70;-90;;;;;1300;1252;;;15051;14479;;
75;-90;;;;;1229;1180;;;14227;13678;;
80;-90;;;;;1151;1102;;;13319;12792;;
85;-90;;;;;1072;1025;;;12411;11908;;
90;-90;;;;;995.4;947.0;;;11493;11013;;
0;-45;;;;;1926;1852;;;21892;21142;;
5;-45;;;;;1941;1868;;;22066;21310;;
10;-45;;;;;1944;1874;;;22125;21365;;
15;-45;;;;;1938;1871;;;22085;21325;;
20;-45;;;;;1924;1859;;;21945;21188;;
25;-45;;;;;1898;1835;;;21671;20920;;
30;-45;;;;;1862;1801;;;21295;20554;;
35;-45;;;;;1821;1762;;;20856;20128;;
40;-45;;;;;1770;1711;;;20288;19575;;
45;-45;;;;;1711;1653;;;19640;18945;;
50;-45;;;;;1646;1590;;;18927;18252;;
55;-45;;;;;1575;1518;;;18119;17467;;
60;-45;;;;;1499;1442;;;17264;16636;;
65;-45;;;;;1418;1361;;;16338;15735;;
70;-45;;;;;1332;1276;;;15365;14787;;
75;-45;;;;;1245;1189;;;14354;13803;;
80;-45;;;;;1157;1100;;;13320;12796;;
85;-45;;;;;1068;1011;;;12268;11770;;
90;-45;;;;;977.5;920.2;;;11193;10722;;
0;0;;;;;1926;1852;;;21892;21142;;
5;0;;;;;1949;1876;;;22156;21397;;
10;0;;;;;1961;1890;;;22302;21538;;
15;0;;;;;1962;1893;;;22327;21561;;
20;0;;;;;1950;1884;;;22226;21463;;
25;0;;;;;1928;1864;;;22000;21243;;
30;0;;;;;1895;1832;;;21649;20903;;
35;0;;;;;1852;1789;;;21173;20441;;
40;0;;;;;1798;1734;;;20575;19861;;
45;0;;;;;1734;1669;;;19850;19158;;
50;0;;;;;1660;1593;;;19007;18338;;
55;0;;;;;1578;1509;;;18055;17414;;
60;0;;;;;1488;1416;;;17002;16389;;
65;0;;;;;1391;1317;;;15857;15275;;
70;0;;;;;1288;1213;;;14648;14097;;
75;0;;;;;1182;1108;;;13414;12894;;
80;0;;;;;1077;1007;;;12231;11740;;
85;0;;;;;979.9;911.9;;;11094;10630;;
90;0;;;;;885.8;818.1;;;9967;9528;;
0;45;;;;;1926;1852;;;21892;21142;;
5;45;;;;;1943;1871;;;22088;21331;;
10;45;;;;;1950;1880;;;22173;21413;;
15;45;;;;;1947;1879;;;22148;21387;;
20;45;;;;;1933;1867;;;21994;21236;;
25;45;;;;;1908;1846;;;21737;20985;;
30;45;;;;;1878;1817;;;21413;20671;;
35;45;;;;;1836;1777;;;20948;20218;;
40;45;;;;;1786;1728;;;20391;19677;;
45;45;;;;;1730;1673;;;19770;19074;;
50;45;;;;;1666;1609;;;19046;18371;;
55;45;;;;;1595;1539;;;18260;17606;;
60;45;;;;;1520;1464;;;17408;16778;;
65;45;;;;;1439;1383;;;16482;15877;;
70;45;;;;;1356;1300;;;15532;14952;;
75;45;;;;;1269;1212;;;14519;13966;;
80;45;;;;;1181;1124;;;13499;12972;;
85;45;;;;;1091;1034;;;12446;11946;;
90;45;;;;;1001;944.0;;;11380;10906;;
0;90;;;;;1926;1852;;;21892;21142;;
5;90;;;;;1927;1854;;;21901;21150;;
10;90;;;;;1918;1847;;;21807;21058;;
15;90;;;;;1900;1832;;;21622;20878;;
20;90;;;;;1874;1809;;;21337;20600;;
25;90;;;;;1843;1781;;;21002;20272;;
30;90;;;;;1804;1744;;;20570;19852;;
35;90;;;;;1758;1700;;;20057;19352;;
40;90;;;;;1711;1655;;;19540;18850;;
45;90;;;;;1655;1601;;;18911;18237;;
50;90;;;;;1593;1541;;;18228;17572;;
55;90;;;;;1535;1484;;;17573;16936;;
60;90;;;;;1466;1416;;;16791;16175;;
65;90;;;;;1395;1346;;;15997;15402;;
70;90;;;;;1327;1278;;;15223;14649;;
75;90;;;;;1251;1202;;;14339;13788;;
80;90;;;;;1172;1125;;;13455;12927;;
85;90;;;;;1098;1050;;;12580;12074;;
90;90;;;;;1020;970.1;;;11644;11161;;
