Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1926;1904;;;22495;21729;;
5;-90;;;;;1923;1902;;;22465;21699;;
10;-90;;;;;1910;1890;;;22327;21563;;
15;-90;;;;;1890;1872;;;22113;21353;;
20;-90;;;;;1862;1844;;;21792;21040;;
25;-90;;;;;1826;1809;;;21392;20649;;
30;-90;;;;;1788;1771;;;20965;20234;;
35;-90;;;;;1741;1724;;;20427;19710;;
40;-90;;;;;1688;1672;;;19838;19136;;
45;-90;;;;;1636;1620;;;19259;18574;;
50;-90;;;;;1575;1558;;;18548;17883;;
55;-90;;;;;1508;1493;;;17814;17168;;
60;-90;;;;;1446;1431;;;17115;16489;;
65;-90;;;;;1374;1358;;;16274;15670;;
70;-90;;;;;1300;1285;;;15442;14861;;
75;-90;;;;;1229;1214;;;14625;14066;;
80;-90;;;;;1151;1135;;;13703;13167;;
85;-90;;;;;1072;1058;;;12800;12288;;
90;-90;;;;;995.4;980.5;;;11894;11405;;
0;-45;;;;;1926;1904;;;22495;21729;;
5;-45;;;;;1941;1920;;;22657;21884;;
10;-45;;;;;1944;1924;;;22699;21923;;
15;-45;;;;;1938;1920;;;22643;21867;;
20;-45;;;;;1924;1906;;;22483;21711;;
25;-45;;;;;1898;1880;;;22180;21415;;
30;-45;;;;;1862;1845;;;21784;21029;;
35;-45;;;;;1821;1804;;;21337;20595;;
40;-45;;;;;1770;1752;;;20756;20031;;
45;-45;;;;;1711;1694;;;20103;19396;;
50;-45;;;;;1646;1630;;;19389;18702;;
55;-45;;;;;1575;1558;;;18578;17914;;
60;-45;;;;;1499;1482;;;17723;17083;;
65;-45;;;;;1418;1400;;;16798;16183;;
70;-45;;;;;1332;1316;;;15830;15241;;
75;-45;;;;;1245;1229;;;14824;14261;;
80;-45;;;;;1157;1140;;;13792;13257;;
85;-45;;;;;1068;1050;;;12744;12235;;
90;-45;;;;;977.5;959.9;;;11671;11188;;
0;0;;;;;1926;1904;;;22495;21729;;
5;0;;;;;1949;1929;;;22751;21975;;
10;0;;;;;1961;1942;;;22886;22106;;
15;0;;;;;1962;1943;;;22895;22113;;
20;0;;;;;1950;1933;;;22777;21998;;
25;0;;;;;1928;1911;;;22538;21767;;
30;0;;;;;1895;1879;;;22180;21420;;
35;0;;;;;1852;1835;;;21703;20957;;
40;0;;;;;1798;1781;;;21109;20380;;
45;0;;;;;1734;1716;;;20396;19689;;
50;0;;;;;1660;1642;;;19572;18889;;
55;0;;;;;1578;1560;;;18644;17987;;
60;0;;;;;1488;1469;;;17615;16986;;
65;0;;;;;1391;1370;;;16487;15890;;
70;0;;;;;1288;1266;;;15275;14709;;
75;0;;;;;1182;1158;;;14013;13478;;
80;0;;;;;1077;1056;;;12808;12303;;
85;0;;;;;979.9;959.0;;;11662;11185;;
90;0;;;;;885.8;864.5;;;10530;10079;;
0;45;;;;;1926;1904;;;22495;21729;;
5;45;;;;;1943;1923;;;22683;21910;;
10;45;;;;;1950;1931;;;22756;21980;;
15;45;;;;;1947;1929;;;22708;21932;;
20;45;;;;;1933;1914;;;22522;21750;;
25;45;;;;;1908;1891;;;22244;21479;;
30;45;;;;;1878;1861;;;21911;21155;;
35;45;;;;;1836;1819;;;21427;20685;;
40;45;;;;;1786;1769;;;20857;20130;;
45;45;;;;;1730;1713;;;20232;19524;;
50;45;;;;;1666;1649;;;19504;18816;;
55;45;;;;;1595;1579;;;18716;18050;;
60;45;;;;;1520;1503;;;17863;17221;;
65;45;;;;;1439;1422;;;16940;16324;;
70;45;;;;;1356;1340;;;15995;15404;;
75;45;;;;;1269;1252;;;14985;14421;;
80;45;;;;;1181;1164;;;13969;13431;;
85;45;;;;;1091;1074;;;12918;12406;;
90;45;;;;;1001;983.6;;;11853;11367;;
0;90;;;;;1926;1904;;;22495;21729;;
5;90;;;;;1927;1906;;;22498;21731;;
10;90;;;;;1918;1898;;;22389;21624;;
15;90;;;;;1900;1882;;;22179;21419;;
20;90;;;;;1874;1856;;;21865;21113;;
25;90;;;;;1843;1825;;;21507;20764;;
30;90;;;;;1804;1786;;;21049;20318;;
35;90;;;;;1758;1741;;;20515;19797;;
40;90;;;;;1711;1694;;;19987;19284;;
45;90;;;;;1655;1638;;;19338;18653;;
50;90;;;;;1593;1578;;;18644;17977;;
55;90;;;;;1535;1519;;;17986;17338;;
60;90;;;;;1466;1450;;;17187;16561;;
65;90;;;;;1395;1380;;;16391;15786;;
70;90;;;;;1327;1312;;;15620;15036;;
75;90;;;;;1251;1235;;;14722;14162;;
80;90;;;;;1172;1159;;;13846;13308;;
85;90;;;;;1098;1084;;;12977;12461;;
90;90;;;;;1020;1003;;;12031;11539;;
