Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1926;1784;;;21162;20435;;
5;-90;;;;;1923;1782;;;21142;20415;;
10;-90;;;;;1910;1772;;;21029;20304;;
15;-90;;;;;1890;1756;;;20839;20118;;
20;-90;;;;;1862;1731;;;20556;19841;;
25;-90;;;;;1826;1700;;;20199;19492;;
30;-90;;;;;1788;1665;;;19799;19103;;
35;-90;;;;;1741;1622;;;19302;18618;;
40;-90;;;;;1688;1574;;;18753;18084;;
45;-90;;;;;1636;1525;;;18193;17539;;
50;-90;;;;;1575;1466;;;17522;16886;;
55;-90;;;;;1508;1405;;;16824;16206;;
60;-90;;;;;1446;1345;;;16137;15538;;
65;-90;;;;;1374;1276;;;15338;14760;;
70;-90;;;;;1300;1207;;;14538;13981;;
75;-90;;;;;1229;1137;;;13731;13195;;
80;-90;;;;;1151;1062;;;12851;12337;;
85;-90;;;;;1072;987.6;;;11977;11485;;
90;-90;;;;;995.4;912.0;;;11080;10610;;
0;-45;;;;;1926;1784;;;21162;20435;;
5;-45;;;;;1941;1799;;;21331;20598;;
10;-45;;;;;1944;1805;;;21394;20657;;
15;-45;;;;;1938;1803;;;21360;20623;;
20;-45;;;;;1924;1791;;;21218;20485;;
25;-45;;;;;1898;1767;;;20950;20222;;
30;-45;;;;;1862;1735;;;20589;19871;;
35;-45;;;;;1821;1697;;;20162;19455;;
40;-45;;;;;1770;1648;;;19610;18918;;
45;-45;;;;;1711;1593;;;18982;18308;;
50;-45;;;;;1646;1531;;;18288;17633;;
55;-45;;;;;1575;1462;;;17503;16870;;
60;-45;;;;;1499;1389;;;16673;16062;;
65;-45;;;;;1418;1311;;;15776;15189;;
70;-45;;;;;1332;1229;;;14831;14269;;
75;-45;;;;;1245;1145;;;13850;13313;;
80;-45;;;;;1157;1059;;;12848;12337;;
85;-45;;;;;1068;973.3;;;11829;11343;;
90;-45;;;;;977.5;886.2;;;10789;10328;;
0;0;;;;;1926;1784;;;21162;20435;;
5;0;;;;;1949;1808;;;21420;20685;;
10;0;;;;;1961;1821;;;21564;20824;;
15;0;;;;;1962;1824;;;21590;20848;;
20;0;;;;;1950;1815;;;21491;20751;;
25;0;;;;;1928;1795;;;21270;20537;;
30;0;;;;;1895;1765;;;20927;20204;;
35;0;;;;;1852;1723;;;20463;19754;;
40;0;;;;;1798;1670;;;19880;19188;;
45;0;;;;;1734;1607;;;19176;18504;;
50;0;;;;;1660;1535;;;18357;17708;;
55;0;;;;;1578;1453;;;17434;16810;;
60;0;;;;;1488;1364;;;16415;15819;;
65;0;;;;;1391;1269;;;15307;14740;;
70;0;;;;;1288;1168;;;14131;13594;;
75;0;;;;;1182;1066;;;12933;12425;;
80;0;;;;;1077;970.0;;;11789;11308;;
85;0;;;;;979.9;878.1;;;10690;10235;;
90;0;;;;;885.8;787.8;;;9600;9169;;
0;45;;;;;1926;1784;;;21162;20435;;
5;45;;;;;1943;1802;;;21357;20624;;
10;45;;;;;1950;1812;;;21442;20705;;
15;45;;;;;1947;1811;;;21413;20675;;
20;45;;;;;1933;1799;;;21264;20530;;
25;45;;;;;1908;1778;;;21019;20291;;
30;45;;;;;1878;1751;;;20702;19982;;
35;45;;;;;1836;1712;;;20248;19541;;
40;45;;;;;1786;1664;;;19709;19017;;
45;45;;;;;1730;1611;;;19107;18431;;
50;45;;;;;1666;1550;;;18404;17748;;
55;45;;;;;1595;1483;;;17640;17005;;
60;45;;;;;1520;1410;;;16814;16201;;
65;45;;;;;1439;1332;;;15915;15327;;
70;45;;;;;1356;1252;;;14993;14428;;
75;45;;;;;1269;1167;;;14011;13472;;
80;45;;;;;1181;1083;;;13022;12508;;
85;45;;;;;1091;996.1;;;12003;11513;;
90;45;;;;;1001;909.2;;;10971;10506;;
0;90;;;;;1926;1784;;;21162;20435;;
5;90;;;;;1927;1786;;;21174;20447;;
10;90;;;;;1918;1779;;;21081;20355;;
15;90;;;;;1900;1765;;;20901;20180;;
20;90;;;;;1874;1743;;;20628;19913;;
25;90;;;;;1843;1716;;;20301;19594;;
30;90;;;;;1804;1680;;;19881;19185;;
35;90;;;;;1758;1638;;;19389;18706;;
40;90;;;;;1711;1595;;;18886;18216;;
45;90;;;;;1655;1542;;;18275;17621;;
50;90;;;;;1593;1485;;;17618;16981;;
55;90;;;;;1535;1429;;;16979;16359;;
60;90;;;;;1466;1364;;;16221;15621;;
65;90;;;;;1395;1297;;;15455;14875;;
70;90;;;;;1327;1231;;;14697;14138;;
75;90;;;;;1251;1158;;;13842;13305;;
80;90;;;;;1172;1085;;;12990;12474;;
85;90;;;;;1098;1011;;;12133;11638;;
90;90;;;;;1020;934.4;;;11229;10756;;
