Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1926;1858;;;21983;21232;;
5;-90;;;;;1923;1856;;;21958;21207;;
10;-90;;;;;1910;1845;;;21832;21082;;
15;-90;;;;;1890;1827;;;21626;20881;;
20;-90;;;;;1862;1801;;;21321;20583;;
25;-90;;;;;1826;1767;;;20938;20209;;
30;-90;;;;;1788;1730;;;20518;19800;;
35;-90;;;;;1741;1685;;;19995;19291;;
40;-90;;;;;1688;1634;;;19421;18732;;
45;-90;;;;;1636;1583;;;18844;18172;;
50;-90;;;;;1575;1522;;;18150;17496;;
55;-90;;;;;1508;1459;;;17430;16795;;
60;-90;;;;;1446;1397;;;16731;16116;;
65;-90;;;;;1374;1326;;;15909;15315;;
70;-90;;;;;1300;1255;;;15090;14518;;
75;-90;;;;;1229;1184;;;14274;13724;;
80;-90;;;;;1151;1106;;;13371;12844;;
85;-90;;;;;1072;1030;;;12481;11976;;
90;-90;;;;;995.4;953.6;;;11575;11093;;
0;-45;;;;;1926;1858;;;21983;21232;;
5;-45;;;;;1941;1873;;;22148;21391;;
10;-45;;;;;1944;1879;;;22199;21439;;
15;-45;;;;;1938;1875;;;22153;21392;;
20;-45;;;;;1924;1862;;;22000;21242;;
25;-45;;;;;1898;1837;;;21712;20961;;
30;-45;;;;;1862;1803;;;21330;20590;;
35;-45;;;;;1821;1763;;;20889;20161;;
40;-45;;;;;1770;1713;;;20320;19607;;
45;-45;;;;;1711;1655;;;19675;18981;;
50;-45;;;;;1646;1592;;;18967;18293;;
55;-45;;;;;1575;1521;;;18167;17514;;
60;-45;;;;;1499;1446;;;17321;16692;;
65;-45;;;;;1418;1366;;;16407;15803;;
70;-45;;;;;1332;1283;;;15447;14869;;
75;-45;;;;;1245;1196;;;14450;13898;;
80;-45;;;;;1157;1109;;;13429;12903;;
85;-45;;;;;1068;1021;;;12391;11890;;
90;-45;;;;;977.5;931.3;;;11328;10854;;
0;0;;;;;1926;1858;;;21983;21232;;
5;0;;;;;1949;1882;;;22239;21479;;
10;0;;;;;1961;1895;;;22379;21614;;
15;0;;;;;1962;1898;;;22398;21632;;
20;0;;;;;1950;1888;;;22290;21527;;
25;0;;;;;1928;1867;;;22061;21305;;
30;0;;;;;1895;1836;;;21711;20964;;
35;0;;;;;1852;1793;;;21239;20507;;
40;0;;;;;1798;1739;;;20650;19935;;
45;0;;;;;1734;1676;;;19942;19248;;
50;0;;;;;1660;1602;;;19119;18448;;
55;0;;;;;1578;1520;;;18190;17545;;
60;0;;;;;1488;1429;;;17160;16543;;
65;0;;;;;1391;1331;;;16033;15447;;
70;0;;;;;1288;1228;;;14830;14276;;
75;0;;;;;1182;1122;;;13593;13069;;
80;0;;;;;1077;1022;;;12413;11917;;
85;0;;;;;979.9;927.6;;;11284;10816;;
90;0;;;;;885.8;834.4;;;10166;9722;;
0;45;;;;;1926;1858;;;21983;21232;;
5;45;;;;;1943;1876;;;22175;21417;;
10;45;;;;;1950;1885;;;22253;21491;;
15;45;;;;;1947;1883;;;22212;21451;;
20;45;;;;;1933;1870;;;22045;21287;;
25;45;;;;;1908;1848;;;21781;21030;;
30;45;;;;;1878;1819;;;21450;20708;;
35;45;;;;;1836;1778;;;20978;20249;;
40;45;;;;;1786;1729;;;20420;19707;;
45;45;;;;;1730;1674;;;19803;19107;;
50;45;;;;;1666;1611;;;19084;18408;;
55;45;;;;;1595;1542;;;18304;17650;;
60;45;;;;;1520;1468;;;17462;16831;;
65;45;;;;;1439;1388;;;16548;15942;;
70;45;;;;;1356;1306;;;15611;15030;;
75;45;;;;;1269;1219;;;14612;14057;;
80;45;;;;;1181;1133;;;13604;13075;;
85;45;;;;;1091;1044;;;12564;12061;;
90;45;;;;;1001;954.7;;;11510;11033;;
0;90;;;;;1926;1858;;;21983;21232;;
5;90;;;;;1927;1860;;;21992;21240;;
10;90;;;;;1918;1853;;;21889;21139;;
15;90;;;;;1900;1837;;;21692;20947;;
20;90;;;;;1874;1813;;;21396;20658;;
25;90;;;;;1843;1783;;;21048;20318;;
30;90;;;;;1804;1746;;;20603;19885;;
35;90;;;;;1758;1701;;;20084;19380;;
40;90;;;;;1711;1656;;;19561;18871;;
45;90;;;;;1655;1601;;;18927;18254;;
50;90;;;;;1593;1542;;;18246;17591;;
55;90;;;;;1535;1484;;;17592;16955;;
60;90;;;;;1466;1416;;;16810;16195;;
65;90;;;;;1395;1348;;;16026;15431;;
70;90;;;;;1327;1280;;;15257;14683;;
75;90;;;;;1251;1205;;;14380;13828;;
80;90;;;;;1172;1130;;;13512;12983;;
85;90;;;;;1098;1055;;;12645;12138;;
90;90;;;;;1020;976.2;;;11720;11235;;
