Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1926;1908;;;22531;21763;;
5;-90;;;;;1923;1905;;;22501;21733;;
10;-90;;;;;1910;1893;;;22363;21597;;
15;-90;;;;;1890;1875;;;22147;21386;;
20;-90;;;;;1862;1847;;;21826;21073;;
25;-90;;;;;1826;1812;;;21425;20681;;
30;-90;;;;;1788;1774;;;20997;20265;;
35;-90;;;;;1741;1727;;;20458;19740;;
40;-90;;;;;1688;1675;;;19868;19166;;
45;-90;;;;;1636;1623;;;19288;18603;;
50;-90;;;;;1575;1560;;;18577;17910;;
55;-90;;;;;1508;1496;;;17842;17195;;
60;-90;;;;;1446;1434;;;17142;16515;;
65;-90;;;;;1374;1360;;;16299;15695;;
70;-90;;;;;1300;1287;;;15467;14884;;
75;-90;;;;;1229;1216;;;14649;14089;;
80;-90;;;;;1151;1137;;;13725;13189;;
85;-90;;;;;1072;1059;;;12822;12309;;
90;-90;;;;;995.4;982.3;;;11914;11424;;
0;-45;;;;;1926;1908;;;22531;21763;;
5;-45;;;;;1941;1923;;;22693;21919;;
10;-45;;;;;1944;1928;;;22734;21958;;
15;-45;;;;;1938;1923;;;22678;21901;;
20;-45;;;;;1924;1909;;;22518;21744;;
25;-45;;;;;1898;1883;;;22214;21448;;
30;-45;;;;;1862;1848;;;21817;21062;;
35;-45;;;;;1821;1807;;;21369;20626;;
40;-45;;;;;1770;1755;;;20789;20062;;
45;-45;;;;;1711;1697;;;20134;19426;;
50;-45;;;;;1646;1633;;;19419;18732;;
55;-45;;;;;1575;1560;;;18607;17943;;
60;-45;;;;;1499;1484;;;17752;17111;;
65;-45;;;;;1418;1403;;;16825;16210;;
70;-45;;;;;1332;1318;;;15856;15267;;
75;-45;;;;;1245;1231;;;14849;14286;;
80;-45;;;;;1157;1142;;;13816;13280;;
85;-45;;;;;1068;1052;;;12766;12257;;
90;-45;;;;;977.5;961.8;;;11692;11209;;
0;0;;;;;1926;1908;;;22531;21763;;
5;0;;;;;1949;1932;;;22786;22010;;
10;0;;;;;1961;1945;;;22922;22140;;
15;0;;;;;1962;1947;;;22931;22148;;
20;0;;;;;1950;1936;;;22812;22033;;
25;0;;;;;1928;1915;;;22574;21801;;
30;0;;;;;1895;1882;;;22215;21453;;
35;0;;;;;1852;1838;;;21737;20990;;
40;0;;;;;1798;1784;;;21143;20413;;
45;0;;;;;1734;1719;;;20429;19721;;
50;0;;;;;1660;1645;;;19604;18920;;
55;0;;;;;1578;1562;;;18676;18018;;
60;0;;;;;1488;1471;;;17645;17016;;
65;0;;;;;1391;1373;;;16516;15918;;
70;0;;;;;1288;1268;;;15303;14736;;
75;0;;;;;1182;1160;;;14039;13503;;
80;0;;;;;1077;1058;;;12832;12326;;
85;0;;;;;979.9;960.9;;;11685;11207;;
90;0;;;;;885.8;866.3;;;10551;10100;;
0;45;;;;;1926;1908;;;22531;21763;;
5;45;;;;;1943;1926;;;22719;21944;;
10;45;;;;;1950;1935;;;22792;22014;;
15;45;;;;;1947;1932;;;22743;21965;;
20;45;;;;;1933;1917;;;22557;21784;;
25;45;;;;;1908;1894;;;22279;21512;;
30;45;;;;;1878;1864;;;21944;21187;;
35;45;;;;;1836;1822;;;21460;20717;;
40;45;;;;;1786;1772;;;20889;20161;;
45;45;;;;;1730;1716;;;20264;19554;;
50;45;;;;;1666;1651;;;19535;18846;;
55;45;;;;;1595;1581;;;18745;18079;;
60;45;;;;;1520;1506;;;17891;17249;;
65;45;;;;;1439;1425;;;16967;16350;;
70;45;;;;;1356;1342;;;16021;15429;;
75;45;;;;;1269;1254;;;15011;14445;;
80;45;;;;;1181;1166;;;13992;13454;;
85;45;;;;;1091;1076;;;12941;12429;;
90;45;;;;;1001;985.5;;;11874;11388;;
0;90;;;;;1926;1908;;;22531;21763;;
5;90;;;;;1927;1909;;;22534;21766;;
10;90;;;;;1918;1901;;;22424;21658;;
15;90;;;;;1900;1885;;;22214;21453;;
20;90;;;;;1874;1859;;;21900;21146;;
25;90;;;;;1843;1829;;;21541;20796;;
30;90;;;;;1804;1789;;;21081;20349;;
35;90;;;;;1758;1744;;;20547;19828;;
40;90;;;;;1711;1697;;;20017;19314;;
45;90;;;;;1655;1641;;;19367;18681;;
50;90;;;;;1593;1580;;;18673;18005;;
55;90;;;;;1535;1522;;;18014;17365;;
60;90;;;;;1466;1452;;;17214;16586;;
65;90;;;;;1395;1382;;;16417;15811;;
70;90;;;;;1327;1315;;;15644;15060;;
75;90;;;;;1251;1237;;;14747;14185;;
80;90;;;;;1172;1161;;;13868;13330;;
85;90;;;;;1098;1085;;;12998;12482;;
90;90;;;;;1020;1005;;;12052;11560;;
