Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1926;1889;;;22319;21558;;
5;-90;;;;;1923;1887;;;22293;21531;;
10;-90;;;;;1910;1876;;;22165;21405;;
15;-90;;;;;1890;1858;;;21956;21200;;
20;-90;;;;;1862;1831;;;21646;20898;;
25;-90;;;;;1826;1797;;;21257;20518;;
30;-90;;;;;1788;1760;;;20832;20104;;
35;-90;;;;;1741;1713;;;20302;19588;;
40;-90;;;;;1688;1662;;;19719;19020;;
45;-90;;;;;1636;1610;;;19135;18453;;
50;-90;;;;;1575;1548;;;18431;17768;;
55;-90;;;;;1508;1484;;;17700;17057;;
60;-90;;;;;1446;1421;;;16993;16370;;
65;-90;;;;;1374;1348;;;16159;15558;;
70;-90;;;;;1300;1276;;;15329;14750;;
75;-90;;;;;1229;1204;;;14502;13945;;
80;-90;;;;;1151;1125;;;13586;13053;;
85;-90;;;;;1072;1048;;;12684;12174;;
90;-90;;;;;995.4;969.8;;;11765;11278;;
0;-45;;;;;1926;1889;;;22319;21558;;
5;-45;;;;;1941;1905;;;22485;21717;;
10;-45;;;;;1944;1910;;;22537;21765;;
15;-45;;;;;1938;1907;;;22489;21717;;
20;-45;;;;;1924;1893;;;22334;21565;;
25;-45;;;;;1898;1868;;;22042;21280;;
30;-45;;;;;1862;1833;;;21655;20904;;
35;-45;;;;;1821;1793;;;21208;20469;;
40;-45;;;;;1770;1742;;;20631;19908;;
45;-45;;;;;1711;1683;;;19978;19274;;
50;-45;;;;;1646;1619;;;19261;18577;;
55;-45;;;;;1575;1547;;;18449;17788;;
60;-45;;;;;1499;1471;;;17592;16955;;
65;-45;;;;;1418;1389;;;16666;16055;;
70;-45;;;;;1332;1304;;;15693;15108;;
75;-45;;;;;1245;1217;;;14682;14123;;
80;-45;;;;;1157;1128;;;13647;13115;;
85;-45;;;;;1068;1038;;;12593;12088;;
90;-45;;;;;977.5;947.1;;;11516;11037;;
0;0;;;;;1926;1889;;;22319;21558;;
5;0;;;;;1949;1914;;;22578;21807;;
10;0;;;;;1961;1927;;;22719;21943;;
15;0;;;;;1962;1930;;;22738;21960;;
20;0;;;;;1950;1920;;;22629;21855;;
25;0;;;;;1928;1899;;;22397;21629;;
30;0;;;;;1895;1867;;;22042;21285;;
35;0;;;;;1852;1823;;;21565;20823;;
40;0;;;;;1798;1769;;;20969;20244;;
45;0;;;;;1734;1704;;;20251;19547;;
50;0;;;;;1660;1629;;;19417;18738;;
55;0;;;;;1578;1545;;;18476;17823;;
60;0;;;;;1488;1453;;;17432;16808;;
65;0;;;;;1391;1354;;;16290;15697;;
70;0;;;;;1288;1249;;;15070;14509;;
75;0;;;;;1182;1142;;;13816;13286;;
80;0;;;;;1077;1040;;;12618;12118;;
85;0;;;;;979.9;943.4;;;11473;11000;;
90;0;;;;;885.8;848.7;;;10337;9890;;
0;45;;;;;1926;1889;;;22319;21558;;
5;45;;;;;1943;1908;;;22513;21744;;
10;45;;;;;1950;1917;;;22591;21819;;
15;45;;;;;1947;1915;;;22550;21778;;
20;45;;;;;1933;1902;;;22380;21611;;
25;45;;;;;1908;1879;;;22112;21350;;
30;45;;;;;1878;1850;;;21777;21024;;
35;45;;;;;1836;1808;;;21298;20559;;
40;45;;;;;1786;1758;;;20733;20009;;
45;45;;;;;1730;1702;;;20107;19402;;
50;45;;;;;1666;1638;;;19379;18694;;
55;45;;;;;1595;1568;;;18589;17926;;
60;45;;;;;1520;1493;;;17735;17096;;
65;45;;;;;1439;1411;;;16809;16195;;
70;45;;;;;1356;1328;;;15859;15271;;
75;45;;;;;1269;1240;;;14846;14284;;
80;45;;;;;1181;1152;;;13824;13290;;
85;45;;;;;1091;1062;;;12770;12261;;
90;45;;;;;1001;970.9;;;11700;11218;;
0;90;;;;;1926;1889;;;22319;21558;;
5;90;;;;;1927;1891;;;22328;21565;;
10;90;;;;;1918;1884;;;22224;21463;;
15;90;;;;;1900;1868;;;22024;21268;;
20;90;;;;;1874;1843;;;21723;20974;;
25;90;;;;;1843;1814;;;21369;20630;;
30;90;;;;;1804;1775;;;20918;20190;;
35;90;;;;;1758;1730;;;20392;19677;;
40;90;;;;;1711;1684;;;19862;19162;;
45;90;;;;;1655;1628;;;19218;18536;;
50;90;;;;;1593;1568;;;18528;17864;;
55;90;;;;;1535;1509;;;17865;17220;;
60;90;;;;;1466;1440;;;17073;16449;;
65;90;;;;;1395;1370;;;16277;15675;;
70;90;;;;;1327;1302;;;15499;14918;;
75;90;;;;;1251;1225;;;14609;14051;;
80;90;;;;;1172;1149;;;13729;13194;;
85;90;;;;;1098;1073;;;12850;12337;;
90;90;;;;;1020;992.8;;;11912;11422;;
