Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1374;;;18388;17722;;
5;-90;;;;;1390;1374;;;18392;17724;;
10;-90;;;;;1382;1368;;;18307;17638;;
15;-90;;;;;1370;1357;;;18166;17499;;
20;-90;;;;;1353;1340;;;17942;17280;;
25;-90;;;;;1329;1316;;;17634;16978;;
30;-90;;;;;1303;1291;;;17321;16674;;
35;-90;;;;;1272;1259;;;16908;16270;;
40;-90;;;;;1235;1223;;;16432;15805;;
45;-90;;;;;1199;1188;;;15987;15372;;
50;-90;;;;;1156;1144;;;15421;14821;;
55;-90;;;;;1108;1097;;;14815;14230;;
60;-90;;;;;1065;1054;;;14262;13694;;
65;-90;;;;;1013;1002;;;13575;13024;;
70;-90;;;;;959.3;948.8;;;12883;12350;;
75;-90;;;;;908.9;898.3;;;12222;11707;;
80;-90;;;;;851.9;840.2;;;11451;10956;;
85;-90;;;;;794.0;783.8;;;10701;10225;;
90;-90;;;;;739.0;727.9;;;9953;9496;;
0;-78.75;;;;;1390;1374;;;18388;17722;;
5;-78.75;;;;;1391;1375;;;18411;17742;;
10;-78.75;;;;;1385;1370;;;18343;17674;;
15;-78.75;;;;;1374;1361;;;18228;17560;;
20;-78.75;;;;;1357;1344;;;18011;17347;;
25;-78.75;;;;;1334;1321;;;17715;17057;;
30;-78.75;;;;;1310;1298;;;17430;16780;;
35;-78.75;;;;;1278;1265;;;17003;16362;;
40;-78.75;;;;;1241;1229;;;16538;15909;;
45;-78.75;;;;;1206;1195;;;16114;15497;;
50;-78.75;;;;;1163;1150;;;15529;14927;;
55;-78.75;;;;;1115;1104;;;14929;14343;;
60;-78.75;;;;;1071;1060;;;14368;13798;;
65;-78.75;;;;;1019;1007;;;13673;13121;;
70;-78.75;;;;;964.2;953.6;;;12977;12444;;
75;-78.75;;;;;911.9;901.3;;;12291;11776;;
80;-78.75;;;;;854.7;842.9;;;11517;11022;;
85;-78.75;;;;;796.2;785.7;;;10753;10278;;
90;-78.75;;;;;739.7;728.3;;;9983;9526;;
0;-67.5;;;;;1390;1374;;;18388;17722;;
5;-67.5;;;;;1392;1377;;;18429;17760;;
10;-67.5;;;;;1387;1372;;;18377;17707;;
15;-67.5;;;;;1377;1364;;;18282;17613;;
20;-67.5;;;;;1361;1347;;;18067;17403;;
25;-67.5;;;;;1337;1324;;;17777;17119;;
30;-67.5;;;;;1313;1302;;;17493;16843;;
35;-67.5;;;;;1282;1269;;;17079;16438;;
40;-67.5;;;;;1243;1230;;;16583;15955;;
45;-67.5;;;;;1207;1196;;;16146;15530;;
50;-67.5;;;;;1163;1151;;;15574;14974;;
55;-67.5;;;;;1114;1102;;;14940;14357;;
60;-67.5;;;;;1067;1056;;;14349;13783;;
65;-67.5;;;;;1013;1002;;;13641;13093;;
70;-67.5;;;;;958.4;947.5;;;12932;12403;;
75;-67.5;;;;;903.5;892.5;;;12207;11697;;
80;-67.5;;;;;844.3;832.7;;;11412;10922;;
85;-67.5;;;;;786.1;775.2;;;10642;10171;;
90;-67.5;;;;;727.7;715.8;;;9840;9389;;
0;-56.25;;;;;1390;1374;;;18388;17722;;
5;-56.25;;;;;1393;1378;;;18446;17777;;
10;-56.25;;;;;1389;1374;;;18408;17738;;
15;-56.25;;;;;1379;1366;;;18316;17647;;
20;-56.25;;;;;1364;1350;;;18123;17458;;
25;-56.25;;;;;1340;1326;;;17820;17163;;
30;-56.25;;;;;1313;1301;;;17511;16862;;
35;-56.25;;;;;1281;1269;;;17111;16471;;
40;-56.25;;;;;1243;1230;;;16609;15983;;
45;-56.25;;;;;1201;1190;;;16099;15487;;
