Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1223;;;16435;15824;;
5;-90;;;;;1390;1224;;;16450;15838;;
10;-90;;;;;1382;1219;;;16397;15783;;
15;-90;;;;;1370;1211;;;16295;15682;;
20;-90;;;;;1353;1198;;;16128;15517;;
25;-90;;;;;1329;1180;;;15885;15279;;
30;-90;;;;;1303;1159;;;15622;15022;;
35;-90;;;;;1272;1132;;;15270;14678;;
40;-90;;;;;1235;1101;;;14855;14272;;
45;-90;;;;;1199;1069;;;14448;13876;;
50;-90;;;;;1156;1030;;;13935;13376;;
55;-90;;;;;1108;987.2;;;13379;12833;;
60;-90;;;;;1065;946.9;;;12854;12323;;
65;-90;;;;;1013;898.5;;;12215;11700;;
70;-90;;;;;959.3;848.9;;;11560;11061;;
75;-90;;;;;908.9;800.6;;;10920;10438;;
80;-90;;;;;851.9;746.3;;;10194;9730;;
85;-90;;;;;794.0;692.7;;;9473;9026;;
90;-90;;;;;739.0;639.0;;;8745;8316;;
0;-78.75;;;;;1390;1223;;;16435;15824;;
5;-78.75;;;;;1391;1225;;;16470;15856;;
10;-78.75;;;;;1385;1222;;;16434;15819;;
15;-78.75;;;;;1374;1215;;;16356;15741;;
20;-78.75;;;;;1357;1203;;;16197;15585;;
25;-78.75;;;;;1334;1185;;;15965;15357;;
30;-78.75;;;;;1310;1166;;;15726;15124;;
35;-78.75;;;;;1278;1138;;;15364;14769;;
40;-78.75;;;;;1241;1106;;;14956;14371;;
45;-78.75;;;;;1206;1076;;;14565;13991;;
50;-78.75;;;;;1163;1035;;;14035;13474;;
55;-78.75;;;;;1115;992.9;;;13481;12935;;
60;-78.75;;;;;1071;951.8;;;12946;12414;;
65;-78.75;;;;;1019;902.5;;;12297;11782;;
70;-78.75;;;;;964.2;852.7;;;11638;11139;;
75;-78.75;;;;;911.9;802.6;;;10973;10491;;
80;-78.75;;;;;854.7;747.8;;;10239;9776;;
85;-78.75;;;;;796.2;693.4;;;9506;9060;;
90;-78.75;;;;;739.7;638.3;;;8758;8329;;
0;-67.5;;;;;1390;1223;;;16435;15824;;
5;-67.5;;;;;1392;1226;;;16488;15874;;
10;-67.5;;;;;1387;1224;;;16465;15850;;
15;-67.5;;;;;1377;1218;;;16403;15788;;
20;-67.5;;;;;1361;1205;;;16245;15632;;
25;-67.5;;;;;1337;1187;;;16017;15409;;
30;-67.5;;;;;1313;1168;;;15776;15174;;
35;-67.5;;;;;1282;1140;;;15420;14826;;
40;-67.5;;;;;1243;1107;;;14984;14401;;
45;-67.5;;;;;1207;1075;;;14579;14006;;
50;-67.5;;;;;1163;1034;;;14051;13492;;
55;-67.5;;;;;1114;989.1;;;13464;12920;;
60;-67.5;;;;;1067;945.7;;;12899;12371;;
65;-67.5;;;;;1013;895.0;;;12231;11719;;
70;-67.5;;;;;958.4;844.0;;;11555;11061;;
75;-67.5;;;;;903.5;791.7;;;10857;10381;;
80;-67.5;;;;;844.3;735.5;;;10102;9644;;
85;-67.5;;;;;786.1;680.8;;;9361;8920;;
90;-67.5;;;;;727.7;624.4;;;8592;8169;;
0;-56.25;;;;;1390;1223;;;16435;15824;;
5;-56.25;;;;;1393;1227;;;16504;15890;;
10;-56.25;;;;;1389;1225;;;16492;15877;;
15;-56.25;;;;;1379;1219;;;16429;15814;;
20;-56.25;;;;;1364;1207;;;16283;15671;;
25;-56.25;;;;;1340;1188;;;16041;15434;;
30;-56.25;;;;;1313;1166;;;15775;15175;;
35;-56.25;;;;;1281;1138;;;15420;14828;;
40;-56.25;;;;;1243;1103;;;14971;14390;;
45;-56.25;;;;;1201;1066;;;14497;13929;;
