Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1341;;;17966;17311;;
5;-90;;;;;1390;1342;;;17974;17318;;
10;-90;;;;;1382;1336;;;17899;17242;;
15;-90;;;;;1370;1326;;;17771;17116;;
20;-90;;;;;1353;1310;;;17565;16913;;
25;-90;;;;;1329;1288;;;17275;16629;;
30;-90;;;;;1303;1264;;;16973;16335;;
35;-90;;;;;1272;1234;;;16573;15944;;
40;-90;;;;;1235;1198;;;16109;15491;;
45;-90;;;;;1199;1163;;;15669;15062;;
50;-90;;;;;1156;1120;;;15113;14521;;
55;-90;;;;;1108;1074;;;14515;13939;;
60;-90;;;;;1065;1032;;;13963;13402;;
65;-90;;;;;1013;979.8;;;13286;12742;;
70;-90;;;;;959.3;927.4;;;12599;12074;;
75;-90;;;;;908.9;876.9;;;11936;11429;;
80;-90;;;;;851.9;819.6;;;11175;10687;;
85;-90;;;;;794.0;763.5;;;10427;9958;;
90;-90;;;;;739.0;707.6;;;9676;9225;;
0;-78.75;;;;;1390;1341;;;17966;17311;;
5;-78.75;;;;;1391;1343;;;17992;17336;;
10;-78.75;;;;;1385;1338;;;17935;17277;;
15;-78.75;;;;;1374;1330;;;17833;17176;;
20;-78.75;;;;;1357;1315;;;17634;16981;;
25;-78.75;;;;;1334;1293;;;17356;16709;;
30;-78.75;;;;;1310;1271;;;17081;16440;;
35;-78.75;;;;;1278;1239;;;16669;16037;;
40;-78.75;;;;;1241;1204;;;16216;15596;;
45;-78.75;;;;;1206;1171;;;15794;15186;;
50;-78.75;;;;;1163;1127;;;15220;14627;;
55;-78.75;;;;;1115;1081;;;14629;14051;;
60;-78.75;;;;;1071;1037;;;14067;13505;;
65;-78.75;;;;;1019;984.7;;;13381;12837;;
70;-78.75;;;;;964.2;932.1;;;12691;12166;;
75;-78.75;;;;;911.9;879.8;;;12003;11496;;
80;-78.75;;;;;854.7;822.1;;;11236;10748;;
85;-78.75;;;;;796.2;765.2;;;10476;10007;;
90;-78.75;;;;;739.7;707.8;;;9703;9252;;
0;-67.5;;;;;1390;1341;;;17966;17311;;
5;-67.5;;;;;1392;1344;;;18011;17354;;
10;-67.5;;;;;1387;1340;;;17968;17310;;
15;-67.5;;;;;1377;1333;;;17885;17227;;
20;-67.5;;;;;1361;1318;;;17689;17035;;
25;-67.5;;;;;1337;1296;;;17418;16770;;
30;-67.5;;;;;1313;1274;;;17142;16501;;
35;-67.5;;;;;1282;1243;;;16741;16110;;
40;-67.5;;;;;1243;1205;;;16260;15641;;
45;-67.5;;;;;1207;1171;;;15825;15218;;
50;-67.5;;;;;1163;1127;;;15260;14668;;
55;-67.5;;;;;1114;1079;;;14636;14060;;
60;-67.5;;;;;1067;1033;;;14045;13486;;
65;-67.5;;;;;1013;979.1;;;13343;12802;;
70;-67.5;;;;;958.4;925.4;;;12638;12116;;
75;-67.5;;;;;903.5;870.6;;;11913;11410;;
80;-67.5;;;;;844.3;811.4;;;11124;10642;;
85;-67.5;;;;;786.1;754.0;;;10354;9891;;
90;-67.5;;;;;727.7;694.9;;;9554;9109;;
0;-56.25;;;;;1390;1341;;;17966;17311;;
5;-56.25;;;;;1393;1345;;;18028;17370;;
10;-56.25;;;;;1389;1342;;;17999;17340;;
15;-56.25;;;;;1379;1335;;;17917;17259;;
20;-56.25;;;;;1364;1321;;;17739;17085;;
25;-56.25;;;;;1340;1298;;;17457;16810;;
30;-56.25;;;;;1313;1274;;;17158;16519;;
35;-56.25;;;;;1281;1243;;;16766;16136;;
40;-56.25;;;;;1243;1204;;;16278;15661;;
45;-56.25;;;;;1201;1165;;;15774;15171;;
50;-56.25;;;;;1156;1120;;;15203;14615;;
55;-56.25;;;;;1105;1069;;;14549;13979;;
60;-56.25;;;;;1054;1020;;;13909;13357;;
65;-56.25;;;;;999.3;964.4;;;13186;12653;;
70;-56.25;;;;;942.0;907.9;;;12441;11928;;
75;-56.25;;;;;883.9;849.8;;;11670;11177;;
80;-56.25;;;;;822.8;789.2;;;10858;10385;;
85;-56.25;;;;;763.8;730.1;;;10059;9605;;
90;-56.25;;;;;703.4;669.3;;;9232;8796;;
0;-45;;;;;1390;1341;;;17966;17311;;
5;-45;;;;;1394;1346;;;18043;17385;;
10;-45;;;;;1391;1344;;;18026;17367;;
15;-45;;;;;1380;1336;;;17935;17279;;
