Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1224;;;16457;15845;;
5;-90;;;;;1390;1225;;;16472;15859;;
10;-90;;;;;1382;1221;;;16419;15804;;
15;-90;;;;;1370;1213;;;16317;15703;;
20;-90;;;;;1353;1200;;;16150;15538;;
25;-90;;;;;1329;1181;;;15907;15300;;
30;-90;;;;;1303;1161;;;15643;15043;;
35;-90;;;;;1272;1134;;;15291;14698;;
40;-90;;;;;1235;1102;;;14875;14292;;
45;-90;;;;;1199;1071;;;14468;13895;;
50;-90;;;;;1156;1031;;;13954;13394;;
55;-90;;;;;1108;988.6;;;13397;12851;;
60;-90;;;;;1065;948.3;;;12872;12340;;
65;-90;;;;;1013;899.7;;;12232;11716;;
70;-90;;;;;959.3;850.1;;;11576;11077;;
75;-90;;;;;908.9;801.7;;;10935;10452;;
80;-90;;;;;851.9;747.4;;;10208;9744;;
85;-90;;;;;794.0;693.7;;;9486;9039;;
90;-90;;;;;739.0;639.9;;;8758;8328;;
0;-45;;;;;1390;1224;;;16457;15845;;
5;-45;;;;;1394;1230;;;16540;15925;;
10;-45;;;;;1391;1228;;;16536;15920;;
15;-45;;;;;1380;1221;;;16462;15847;;
20;-45;;;;;1365;1209;;;16325;15713;;
25;-45;;;;;1342;1189;;;16077;15471;;
30;-45;;;;;1311;1163;;;15752;15154;;
35;-45;;;;;1279;1134;;;15391;14803;;
40;-45;;;;;1238;1097;;;14918;14342;;
45;-45;;;;;1193;1055;;;14385;13823;;
50;-45;;;;;1145;1011;;;13808;13262;;
55;-45;;;;;1092;960.5;;;13154;12624;;
60;-45;;;;;1036;908.7;;;12473;11962;;
65;-45;;;;;978.1;853.0;;;11735;11242;;
70;-45;;;;;917.4;795.8;;;10971;10496;;
75;-45;;;;;856.0;737.4;;;10181;9726;;
80;-45;;;;;793.2;678.4;;;9378;8942;;
85;-45;;;;;731.4;620.2;;;8578;8160;;
90;-45;;;;;668.7;561.9;;;7770;7369;;
0;0;;;;;1390;1224;;;16457;15845;;
5;0;;;;;1396;1231;;;16565;15950;;
10;0;;;;;1395;1231;;;16578;15963;;
15;0;;;;;1385;1223;;;16492;15879;;
20;0;;;;;1368;1207;;;16307;15699;;
25;0;;;;;1342;1183;;;16022;15423;;
30;0;;;;;1309;1152;;;15636;15048;;
35;0;;;;;1269;1113;;;15152;14578;;
40;0;;;;;1222;1067;;;14571;14012;;
45;0;;;;;1168;1014;;;13889;13348;;
50;0;;;;;1108;955.2;;;13119;12598;;
55;0;;;;;1043;891.2;;;12277;11777;;
60;0;;;;;972.8;823.7;;;11376;10899;;
65;0;;;;;898.6;753.9;;;10435;9979;;
70;0;;;;;821.3;684.2;;;9485;9050;;
75;0;;;;;743.0;616.7;;;8556;8141;;
80;0;;;;;670.0;556.3;;;7715;7317;;
85;0;;;;;606.8;501.7;;;6947;6565;;
90;0;;;;;546.8;448.8;;;6197;5828;;
0;45;;;;;1390;1224;;;16457;15845;;
5;45;;;;;1395;1230;;;16540;15925;;
10;45;;;;;1393;1231;;;16549;15933;;
15;45;;;;;1385;1225;;;16481;15865;;
20;45;;;;;1369;1211;;;16313;15700;;
25;45;;;;;1345;1192;;;16073;15467;;
30;45;;;;;1318;1169;;;15781;15184;;
35;45;;;;;1284;1137;;;15374;14788;;
40;45;;;;;1243;1101;;;14903;14330;;
45;45;;;;;1199;1060;;;14385;13826;;
50;45;;;;;1150;1014;;;13780;13238;;
55;45;;;;;1097;965.1;;;13140;12614;;
60;45;;;;;1041;912.2;;;12443;11935;;
65;45;;;;;981.5;856.2;;;11700;11210;;
70;45;;;;;922.4;800.0;;;10949;10477;;
75;45;;;;;859.7;741.1;;;10154;9701;;
80;45;;;;;798.6;683.6;;;9374;8939;;
85;45;;;;;735.7;625.0;;;8572;8155;;
90;45;;;;;674.4;567.7;;;7783;7383;;
0;90;;;;;1390;1224;;;16457;15845;;
5;90;;;;;1391;1227;;;16475;15861;;
10;90;;;;;1386;1224;;;16432;15817;;
15;90;;;;;1375;1216;;;16321;15706;;
20;90;;;;;1357;1203;;;16137;15525;;
25;90;;;;;1336;1187;;;15924;15317;;
30;90;;;;;1309;1165;;;15621;15021;;
35;90;;;;;1276;1137;;;15253;14661;;
40;90;;;;;1244;1110;;;14888;14306;;
45;90;;;;;1204;1074;;;14412;13842;;
50;90;;;;;1160;1035;;;13897;13339;;
55;90;;;;;1119;997.1;;;13406;12862;;
60;90;;;;;1069;951.3;;;12799;12270;;
65;90;;;;;1017;904.2;;;12178;11664;;
70;90;;;;;969.3;858.9;;;11581;11082;;
75;90;;;;;913.9;806.4;;;10883;10401;;
80;90;;;;;857.0;754.3;;;10189;9724;;
85;90;;;;;804.0;703.0;;;9505;9055;;
90;90;;;;;747.1;647.7;;;8762;8330;;
