Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1376;;;18412;17745;;
5;-90;;;;;1390;1376;;;18416;17748;;
10;-90;;;;;1382;1370;;;18331;17662;;
15;-90;;;;;1370;1359;;;18189;17522;;
20;-90;;;;;1353;1341;;;17965;17302;;
25;-90;;;;;1329;1318;;;17657;17001;;
30;-90;;;;;1303;1293;;;17344;16696;;
35;-90;;;;;1272;1261;;;16930;16291;;
40;-90;;;;;1235;1224;;;16453;15826;;
45;-90;;;;;1199;1189;;;16008;15393;;
50;-90;;;;;1156;1146;;;15441;14841;;
55;-90;;;;;1108;1099;;;14834;14249;;
60;-90;;;;;1065;1056;;;14281;13712;;
65;-90;;;;;1013;1003;;;13593;13042;;
70;-90;;;;;959.3;950.1;;;12900;12367;;
75;-90;;;;;908.9;899.6;;;12238;11723;;
80;-90;;;;;851.9;841.4;;;11467;10972;;
85;-90;;;;;794.0;784.9;;;10716;10239;;
90;-90;;;;;739.0;729.0;;;9967;9509;;
0;-45;;;;;1390;1376;;;18412;17745;;
5;-45;;;;;1394;1381;;;18486;17816;;
10;-45;;;;;1391;1378;;;18461;17790;;
15;-45;;;;;1380;1369;;;18360;17691;;
20;-45;;;;;1365;1354;;;18189;17524;;
25;-45;;;;;1342;1330;;;17890;17233;;
30;-45;;;;;1311;1300;;;17519;16871;;
35;-45;;;;;1279;1269;;;17128;16491;;
40;-45;;;;;1238;1228;;;16613;15990;;
45;-45;;;;;1193;1183;;;16043;15436;;
50;-45;;;;;1145;1135;;;15435;14845;;
55;-45;;;;;1092;1081;;;14744;14172;;
60;-45;;;;;1036;1026;;;14033;13481;;
65;-45;;;;;978.1;967.2;;;13262;12731;;
70;-45;;;;;917.4;906.9;;;12465;11955;;
75;-45;;;;;856.0;845.0;;;11640;11151;;
80;-45;;;;;793.2;782.1;;;10794;10326;;
85;-45;;;;;731.4;719.8;;;9948;9499;;
90;-45;;;;;668.7;656.8;;;9085;8656;;
0;0;;;;;1390;1376;;;18412;17745;;
5;0;;;;;1396;1383;;;18521;17850;;
10;0;;;;;1395;1383;;;18531;17860;;
15;0;;;;;1385;1373;;;18435;17767;;
20;0;;;;;1368;1356;;;18234;17572;;
25;0;;;;;1342;1331;;;17936;17283;;
30;0;;;;;1309;1298;;;17539;16897;;
35;0;;;;;1269;1258;;;17044;16417;;
40;0;;;;;1222;1211;;;16454;15844;;
45;0;;;;;1168;1156;;;15766;15175;;
50;0;;;;;1108;1096;;;14989;14419;;
55;0;;;;;1043;1030;;;14132;13585;;
60;0;;;;;972.8;958.6;;;13199;12677;;
65;0;;;;;898.6;882.9;;;12193;11696;;
70;0;;;;;821.3;804.1;;;11133;10661;;
75;0;;;;;743.0;724.9;;;10058;9610;;
80;0;;;;;670.0;654.7;;;9093;8666;;
85;0;;;;;606.8;592.7;;;8232;7824;;
90;0;;;;;546.8;533.1;;;7396;7005;;
0;45;;;;;1390;1376;;;18412;17745;;
5;45;;;;;1395;1382;;;18496;17825;;
10;45;;;;;1393;1382;;;18494;17823;;
15;45;;;;;1385;1374;;;18399;17728;;
20;45;;;;;1369;1357;;;18185;17519;;
25;45;;;;;1345;1334;;;17901;17243;;
30;45;;;;;1318;1308;;;17577;16929;;
35;45;;;;;1284;1273;;;17126;16491;;
40;45;;;;;1243;1232;;;16614;15994;;
45;45;;;;;1199;1189;;;16064;15460;;
50;45;;;;;1150;1139;;;15420;14833;;
55;45;;;;;1097;1087;;;14744;14176;;
60;45;;;;;1041;1031;;;14009;13461;;
65;45;;;;;981.5;971.0;;;13227;12699;;
70;45;;;;;922.4;911.5;;;12442;11935;;
75;45;;;;;859.7;848.7;;;11604;11117;;
80;45;;;;;798.6;787.3;;;10781;10313;;
85;45;;;;;735.7;724.2;;;9927;9480;;
90;45;;;;;674.4;662.3;;;9083;8655;;
0;90;;;;;1390;1376;;;18412;17745;;
5;90;;;;;1391;1378;;;18427;17758;;
10;90;;;;;1386;1374;;;18361;17691;;
15;90;;;;;1375;1363;;;18205;17536;;
20;90;;;;;1357;1345;;;17963;17299;;
25;90;;;;;1336;1326;;;17699;17041;;
30;90;;;;;1309;1298;;;17333;16684;;
35;90;;;;;1276;1266;;;16901;16264;;
40;90;;;;;1244;1234;;;16494;15868;;
45;90;;;;;1204;1193;;;15958;15345;;
50;90;;;;;1160;1150;;;15387;14789;;
55;90;;;;;1119;1109;;;14862;14279;;
60;90;;;;;1069;1058;;;14198;13632;;
65;90;;;;;1017;1008;;;13534;12984;;
70;90;;;;;969.3;959.9;;;12912;12379;;
75;90;;;;;913.9;903.2;;;12164;11650;;
80;90;;;;;857.0;848.1;;;11437;10941;;
85;90;;;;;804.0;794.6;;;10730;10253;;
90;90;;;;;747.1;735.7;;;9946;9487;;
