Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1343;;;17989;17334;;
5;-90;;;;;1390;1344;;;17998;17341;;
10;-90;;;;;1382;1338;;;17923;17265;;
15;-90;;;;;1370;1328;;;17795;17138;;
20;-90;;;;;1353;1312;;;17588;16935;;
25;-90;;;;;1329;1290;;;17298;16651;;
30;-90;;;;;1303;1266;;;16995;16356;;
35;-90;;;;;1272;1235;;;16595;15965;;
40;-90;;;;;1235;1199;;;16131;15512;;
45;-90;;;;;1199;1165;;;15690;15083;;
50;-90;;;;;1156;1122;;;15133;14541;;
55;-90;;;;;1108;1076;;;14535;13958;;
60;-90;;;;;1065;1033;;;13982;13421;;
65;-90;;;;;1013;981.2;;;13304;12760;;
70;-90;;;;;959.3;928.7;;;12616;12090;;
75;-90;;;;;908.9;878.2;;;11953;11445;;
80;-90;;;;;851.9;820.8;;;11190;10702;;
85;-90;;;;;794.0;764.6;;;10442;9972;;
90;-90;;;;;739.0;708.6;;;9690;9238;;
0;-45;;;;;1390;1343;;;17989;17334;;
5;-45;;;;;1394;1348;;;18067;17409;;
10;-45;;;;;1391;1346;;;18050;17391;;
15;-45;;;;;1380;1338;;;17959;17302;;
20;-45;;;;;1365;1324;;;17799;17145;;
25;-45;;;;;1342;1301;;;17518;16871;;
30;-45;;;;;1311;1273;;;17161;16523;;
35;-45;;;;;1279;1241;;;16775;16148;;
40;-45;;;;;1238;1201;;;16269;15655;;
45;-45;;;;;1193;1157;;;15707;15109;;
50;-45;;;;;1145;1109;;;15102;14520;;
55;-45;;;;;1092;1056;;;14416;13853;;
60;-45;;;;;1036;1002;;;13706;13162;;
65;-45;;;;;978.1;942.9;;;12937;12414;;
70;-45;;;;;917.4;882.7;;;12140;11637;;
75;-45;;;;;856.0;820.9;;;11315;10833;;
80;-45;;;;;793.2;758.3;;;10470;10009;;
85;-45;;;;;731.4;696.2;;;9625;9183;;
90;-45;;;;;668.7;633.6;;;8765;8343;;
0;0;;;;;1390;1343;;;17989;17334;;
5;0;;;;;1396;1351;;;18098;17439;;
10;0;;;;;1395;1350;;;18111;17452;;
15;0;;;;;1385;1342;;;18022;17365;;
20;0;;;;;1368;1325;;;17830;17179;;
25;0;;;;;1342;1300;;;17539;16896;;
30;0;;;;;1309;1268;;;17146;16515;;
35;0;;;;;1269;1228;;;16652;16036;;
40;0;;;;;1222;1181;;;16060;15461;;
45;0;;;;;1168;1126;;;15367;14787;;
50;0;;;;;1108;1065;;;14580;14021;;
55;0;;;;;1043;998.2;;;13711;13175;;
60;0;;;;;972.8;926.5;;;12766;12255;;
65;0;;;;;898.6;850.8;;;11758;11271;;
70;0;;;;;821.3;773.5;;;10715;10253;;
75;0;;;;;743.0;697.4;;;9678;9239;;
80;0;;;;;670.0;629.8;;;8746;8326;;
85;0;;;;;606.8;569.5;;;7905;7503;;
90;0;;;;;546.8;511.1;;;7085;6700;;
0;45;;;;;1390;1343;;;17989;17334;;
5;45;;;;;1395;1349;;;18073;17414;;
10;45;;;;;1393;1349;;;18076;17417;;
15;45;;;;;1385;1342;;;17993;17333;;
20;45;;;;;1369;1327;;;17797;17142;;
25;45;;;;;1345;1305;;;17529;16881;;
30;45;;;;;1318;1280;;;17211;16573;;
35;45;;;;;1284;1245;;;16771;16146;;
40;45;;;;;1243;1206;;;16269;15658;;
45;45;;;;;1199;1163;;;15722;15126;;
50;45;;;;;1150;1114;;;15084;14506;;
55;45;;;;;1097;1062;;;14411;13851;;
60;45;;;;;1041;1006;;;13680;13140;;
65;45;;;;;981.5;946.5;;;12901;12381;;
70;45;;;;;922.4;887.2;;;12116;11616;;
75;45;;;;;859.7;824.6;;;11280;10801;;
80;45;;;;;798.6;763.5;;;10459;9999;;
85;45;;;;;735.7;700.8;;;9609;9168;;
90;45;;;;;674.4;639.4;;;8769;8348;;
0;90;;;;;1390;1343;;;17989;17334;;
5;90;;;;;1391;1345;;;18006;17348;;
10;90;;;;;1386;1342;;;17949;17291;;
15;90;;;;;1375;1332;;;17809;17151;;
20;90;;;;;1357;1316;;;17585;16931;;
25;90;;;;;1336;1297;;;17334;16686;;
30;90;;;;;1309;1271;;;16983;16344;;
35;90;;;;;1276;1239;;;16565;15936;;
40;90;;;;;1244;1209;;;16163;15545;;
45;90;;;;;1204;1169;;;15638;15034;;
50;90;;;;;1160;1126;;;15077;14488;;
55;90;;;;;1119;1086;;;14554;13979;;
60;90;;;;;1069;1036;;;13902;13343;;
65;90;;;;;1017;985.7;;;13245;12703;;
70;90;;;;;969.3;938.0;;;12622;12097;;
75;90;;;;;913.9;882.2;;;11885;11378;;
80;90;;;;;857.0;827.5;;;11162;10673;;
85;90;;;;;804.0;774.0;;;10454;9983;;
90;90;;;;;747.1;715.8;;;9678;9224;;
