Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;1926;1904;;;23800;22993;;
5;-180;;;;;1901;1880;;;23522;22724;;
10;-180;;;;;1865;1845;;;23118;22333;;
15;-180;;;;;1818;1799;;;22580;21814;;
20;-180;;;;;1761;1742;;;21915;21169;;
25;-180;;;;;1694;1675;;;21127;20405;;
30;-180;;;;;1619;1600;;;20228;19533;;
35;-180;;;;;1535;1515;;;19216;18550;;
40;-180;;;;;1445;1423;;;18096;17462;;
45;-180;;;;;1349;1325;;;16900;16298;;
50;-180;;;;;1249;1225;;;15661;15092;;
55;-180;;;;;1154;1132;;;14513;13973;;
60;-180;;;;;1064;1043;;;13407;12895;;
65;-180;;;;;975.9;955.3;;;12311;11825;;
70;-180;;;;;891.0;870.4;;;11241;10779;;
75;-180;;;;;807.1;787.2;;;10181;9743;;
80;-180;;;;;728.1;708.8;;;9175;8759;;
85;-180;;;;;652.3;633.0;;;8193;7797;;
90;-180;;;;;582.1;562.1;;;7267;6889;;
0;-157.5;;;;;1926;1904;;;23800;22993;;
5;-157.5;;;;;1902;1881;;;23535;22736;;
10;-157.5;;;;;1867;1847;;;23144;22358;;
15;-157.5;;;;;1822;1803;;;22627;21857;;
20;-157.5;;;;;1767;1749;;;21996;21246;;
25;-157.5;;;;;1704;1685;;;21253;20526;;
30;-157.5;;;;;1633;1614;;;20403;19700;;
35;-157.5;;;;;1555;1535;;;19468;18793;;
40;-157.5;;;;;1471;1451;;;18447;17801;;
45;-157.5;;;;;1383;1362;;;17374;16758;;
50;-157.5;;;;;1292;1270;;;16249;15663;;
55;-157.5;;;;;1200;1178;;;15103;14547;;
60;-157.5;;;;;1110;1088;;;13984;13455;;
65;-157.5;;;;;1022;1000;;;12894;12391;;
70;-157.5;;;;;936.2;915.8;;;11829;11352;;
75;-157.5;;;;;854.0;834.4;;;10797;10342;;
80;-157.5;;;;;775.4;756.8;;;9804;9372;;
85;-157.5;;;;;700.6;683.4;;;8858;8445;;
