Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;1926;1698;;;21367;20633;;
5;-180;;;;;1901;1672;;;21064;20340;;
10;-180;;;;;1865;1636;;;20640;19929;;
15;-180;;;;;1818;1590;;;20093;19399;;
20;-180;;;;;1761;1535;;;19427;18752;;
25;-180;;;;;1694;1470;;;18644;17992;;
30;-180;;;;;1619;1396;;;17757;17130;;
35;-180;;;;;1535;1316;;;16771;16171;;
40;-180;;;;;1445;1229;;;15709;15137;;
45;-180;;;;;1349;1141;;;14609;14066;;
50;-180;;;;;1249;1052;;;13499;12983;;
55;-180;;;;;1154;968.8;;;12464;11973;;
60;-180;;;;;1064;888.6;;;11456;10988;;
65;-180;;;;;975.9;810.0;;;10461;10016;;
70;-180;;;;;891.0;734.8;;;9501;9076;;
75;-180;;;;;807.1;661.6;;;8557;8153;;
80;-180;;;;;728.1;593.6;;;7674;7288;;
85;-180;;;;;652.3;529.8;;;6837;6466;;
90;-180;;;;;582.1;472.6;;;6083;5724;;
0;-157.5;;;;;1926;1698;;;21367;20633;;
5;-157.5;;;;;1902;1674;;;21084;20358;;
10;-157.5;;;;;1867;1640;;;20684;19971;;
15;-157.5;;;;;1822;1596;;;20171;19473;;
20;-157.5;;;;;1767;1544;;;19554;18875;;
25;-157.5;;;;;1704;1484;;;18833;18175;;
30;-157.5;;;;;1633;1416;;;18012;17376;;
35;-157.5;;;;;1555;1342;;;17113;16502;;
40;-157.5;;;;;1471;1263;;;16142;15557;;
45;-157.5;;;;;1383;1181;;;15138;14579;;
50;-157.5;;;;;1292;1098;;;14107;13575;;
55;-157.5;;;;;1200;1016;;;13078;12570;;
60;-157.5;;;;;1110;936.4;;;12080;11596;;
65;-157.5;;;;;1022;859.5;;;11108;10647;;
70;-157.5;;;;;936.2;785.1;;;10162;9721;;
75;-157.5;;;;;854.0;714.0;;;9249;8827;;
80;-157.5;;;;;775.4;646.9;;;8380;7977;;
85;-157.5;;;;;700.6;583.6;;;7556;7168;;
90;-157.5;;;;;632.2;525.4;;;6791;6418;;
0;-135;;;;;1926;1698;;;21367;20633;;
5;-135;;;;;1907;1679;;;21147;20419;;
10;-135;;;;;1877;1651;;;20822;20103;;
15;-135;;;;;1837;1616;;;20404;19697;;
20;-135;;;;;1790;1574;;;19904;19212;;
25;-135;;;;;1736;1524;;;19314;18638;;
30;-135;;;;;1674;1469;;;18653;17996;;
35;-135;;;;;1609;1409;;;17926;17289;;
40;-135;;;;;1537;1344;;;17138;16522;;
45;-135;;;;;1463;1276;;;16311;15718;;
50;-135;;;;;1386;1206;;;15448;14878;;
55;-135;;;;;1308;1135;;;14568;14020;;
60;-135;;;;;1228;1063;;;13673;13148;;
65;-135;;;;;1150;991.1;;;12781;12278;;
70;-135;;;;;1071;920.3;;;11890;11408;;
75;-135;;;;;994.2;851.1;;;11013;10551;;
80;-135;;;;;918.7;783.2;;;10146;9703;;
85;-135;;;;;845.7;717.2;;;9298;8874;;
90;-135;;;;;775.7;653.5;;;8473;8066;;
0;-112.5;;;;;1926;1698;;;21367;20633;;
5;-112.5;;;;;1914;1687;;;21242;20511;;
10;-112.5;;;;;1892;1669;;;21025;20298;;
15;-112.5;;;;;1862;1644;;;20734;20015;;
20;-112.5;;;;;1825;1614;;;20371;19662;;
25;-112.5;;;;;1781;1576;;;19918;19222;;
30;-112.5;;;;;1731;1534;;;19413;18730;;
35;-112.5;;;;;1678;1487;;;18847;18179;;
40;-112.5;;;;;1618;1434;;;18213;17563;;
45;-112.5;;;;;1556;1379;;;17544;16911;;
50;-112.5;;;;;1491;1320;;;16828;16215;;
55;-112.5;;;;;1423;1258;;;16069;15476;;
60;-112.5;;;;;1353;1194;;;15282;14710;;
65;-112.5;;;;;1281;1128;;;14470;13919;;
70;-112.5;;;;;1207;1059;;;13621;13092;;
75;-112.5;;;;;1133;990.5;;;12767;12258;;
80;-112.5;;;;;1059;921.0;;;11894;11408;;
85;-112.5;;;;;983.4;850.5;;;11004;10538;;
90;-112.5;;;;;909.8;780.8;;;10117;9671;;
0;-90;;;;;1926;1698;;;21367;20633;;
5;-90;;;;;1923;1697;;;21354;20619;;
10;-90;;;;;1910;1688;;;21251;20517;;
15;-90;;;;;1890;1674;;;21081;20351;;
20;-90;;;;;1862;1653;;;20823;20098;;
25;-90;;;;;1826;1624;;;20480;19764;;
30;-90;;;;;1788;1593;;;20101;19394;;
35;-90;;;;;1741;1553;;;19617;18923;;
40;-90;;;;;1688;1507;;;19066;18387;;
45;-90;;;;;1636;1461;;;18511;17847;;
50;-90;;;;;1575;1405;;;17834;17188;;
55;-90;;;;;1508;1346;;;17115;16488;;
60;-90;;;;;1446;1288;;;16415;15808;;
65;-90;;;;;1374;1220;;;15591;15006;;
70;-90;;;;;1300;1152;;;14756;14193;;
75;-90;;;;;1229;1084;;;13923;13382;;
80;-90;;;;;1151;1010;;;13006;12488;;
85;-90;;;;;1072;936.5;;;12084;11590;;
90;-90;;;;;995.4;862.4;;;11151;10680;;
0;-67.5;;;;;1926;1698;;;21367;20633;;
5;-67.5;;;;;1932;1706;;;21465;20726;;
