Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;1926;1859;;;23260;22468;;
5;-180;;;;;1901;1834;;;22974;22192;;
10;-180;;;;;1865;1799;;;22566;21797;;
15;-180;;;;;1818;1753;;;22030;21279;;
20;-180;;;;;1761;1697;;;21366;20635;;
25;-180;;;;;1694;1630;;;20576;19869;;
30;-180;;;;;1619;1554;;;19670;18991;;
35;-180;;;;;1535;1469;;;18650;17999;;
40;-180;;;;;1445;1377;;;17528;16908;;
45;-180;;;;;1349;1281;;;16343;15756;;
50;-180;;;;;1249;1183;;;15135;14579;;
55;-180;;;;;1154;1092;;;14012;13484;;
60;-180;;;;;1064;1005;;;12923;12422;;
65;-180;;;;;975.9;918.4;;;11841;11365;;
70;-180;;;;;891.0;835.0;;;10787;10336;;
75;-180;;;;;807.1;753.2;;;9744;9315;;
80;-180;;;;;728.1;676.3;;;8754;8346;;
85;-180;;;;;652.3;602.9;;;7800;7412;;
90;-180;;;;;582.1;535.7;;;6920;6548;;
0;-157.5;;;;;1926;1859;;;23260;22468;;
5;-157.5;;;;;1902;1835;;;22989;22207;;
10;-157.5;;;;;1867;1801;;;22597;21827;;
15;-157.5;;;;;1822;1757;;;22086;21331;;
20;-157.5;;;;;1767;1704;;;21461;20726;;
25;-157.5;;;;;1704;1642;;;20722;20010;;
30;-157.5;;;;;1633;1570;;;19874;19186;;
35;-157.5;;;;;1555;1492;;;18937;18276;;
40;-157.5;;;;;1471;1408;;;17914;17282;;
45;-157.5;;;;;1383;1319;;;16842;16239;;
50;-157.5;;;;;1292;1229;;;15728;15155;;
55;-157.5;;;;;1200;1138;;;14605;14060;;
60;-157.5;;;;;1110;1050;;;13513;12995;;
65;-157.5;;;;;1022;965.2;;;12448;11956;;
70;-157.5;;;;;936.2;882.7;;;11408;10940;;
75;-157.5;;;;;854.0;803.5;;;10400;9955;;
80;-157.5;;;;;775.4;728.3;;;9436;9011;;
85;-157.5;;;;;700.6;657.3;;;8519;8113;;
90;-157.5;;;;;632.2;592.2;;;7671;7282;;
0;-135;;;;;1926;1859;;;23260;22468;;
5;-135;;;;;1907;1840;;;23044;22259;;
10;-135;;;;;1877;1811;;;22712;21936;;
15;-135;;;;;1837;1774;;;22276;21514;;
20;-135;;;;;1790;1729;;;21749;21003;;
25;-135;;;;;1736;1676;;;21121;20392;;
30;-135;;;;;1674;1617;;;20417;19709;;
35;-135;;;;;1609;1552;;;19642;18956;;
40;-135;;;;;1537;1482;;;18801;18139;;
45;-135;;;;;1463;1408;;;17918;17280;;
50;-135;;;;;1386;1332;;;16995;16382;;
55;-135;;;;;1308;1255;;;16053;15466;;
60;-135;;;;;1228;1177;;;15093;14531;;
65;-135;;;;;1150;1099;;;14134;13597;;
70;-135;;;;;1071;1022;;;13174;12661;;
75;-135;;;;;994.2;947.0;;;12230;11740;;
80;-135;;;;;918.7;873.2;;;11298;10830;;
85;-135;;;;;845.7;801.8;;;10388;9941;;
90;-135;;;;;775.7;732.8;;;9502;9074;;
0;-112.5;;;;;1926;1859;;;23260;22468;;
5;-112.5;;;;;1914;1847;;;23130;22342;;
10;-112.5;;;;;1892;1827;;;22891;22109;;
15;-112.5;;;;;1862;1800;;;22568;21794;;
20;-112.5;;;;;1825;1765;;;22160;21397;;
25;-112.5;;;;;1781;1723;;;21654;20905;;
30;-112.5;;;;;1731;1676;;;21094;20361;;
35;-112.5;;;;;1678;1624;;;20472;19756;;
40;-112.5;;;;;1618;1566;;;19782;19085;;
45;-112.5;;;;;1556;1505;;;19058;18382;;
50;-112.5;;;;;1491;1441;;;18290;17635;;
55;-112.5;;;;;1423;1374;;;17479;16847;;
60;-112.5;;;;;1353;1305;;;16645;16036;;
65;-112.5;;;;;1281;1235;;;15785;15199;;
70;-112.5;;;;;1207;1162;;;14889;14327;;
75;-112.5;;;;;1133;1089;;;13992;13453;;
80;-112.5;;;;;1059;1015;;;13077;12561;;
85;-112.5;;;;;983.4;940.8;;;12145;11653;;
90;-112.5;;;;;909.8;867.4;;;11219;10749;;
0;-90;;;;;1926;1859;;;23260;22468;;
5;-90;;;;;1923;1857;;;23236;22443;;
10;-90;;;;;1910;1846;;;23104;22314;;
15;-90;;;;;1890;1829;;;22896;22110;;
20;-90;;;;;1862;1803;;;22584;21805;;
25;-90;;;;;1826;1770;;;22183;21415;;
30;-90;;;;;1788;1733;;;21750;20994;;
35;-90;;;;;1741;1688;;;21205;20463;;
40;-90;;;;;1688;1637;;;20597;19872;;
45;-90;;;;;1636;1586;;;19996;19288;;
50;-90;;;;;1575;1525;;;19263;18576;;
55;-90;;;;;1508;1461;;;18497;17831;;
60;-90;;;;;1446;1400;;;17764;17119;;
65;-90;;;;;1374;1328;;;16892;16271;;
