Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1096;1048;;;13477;12950;;
5;-90;;;;;1094;1047;;;13465;12937;;
10;-90;;;;;1089;1044;;;13417;12888;;
15;-90;;;;;1080;1037;;;13331;12803;;
20;-90;;;;;1070;1029;;;13218;12691;;
25;-90;;;;;1058;1018;;;13074;12550;;
30;-90;;;;;1044;1006;;;12905;12384;;
35;-90;;;;;1027;990.2;;;12699;12182;;
40;-90;;;;;1008;972.6;;;12468;11956;;
45;-90;;;;;985.9;952.0;;;12201;11695;;
50;-90;;;;;962.4;929.3;;;11910;11410;;
55;-90;;;;;935.2;902.9;;;11574;11081;;
60;-90;;;;;906.2;874.8;;;11216;10732;;
65;-90;;;;;873.4;842.6;;;10809;10334;;
70;-90;;;;;837.6;808.2;;;10374;9910;;
75;-90;;;;;801.1;772.4;;;9923;9469;;
80;-90;;;;;761.8;733.1;;;9427;8985;;
85;-90;;;;;719.5;692.0;;;8908;8480;;
90;-90;;;;;673.9;647.5;;;8344;7929;;
0;-45;;;;;1096;1048;;;13477;12950;;
5;-45;;;;;1128;1081;;;13885;13346;;
10;-45;;;;;1155;1110;;;14234;13684;;
15;-45;;;;;1177;1134;;;14512;13952;;
20;-45;;;;;1194;1152;;;14726;14159;;
25;-45;;;;;1205;1164;;;14861;14289;;
30;-45;;;;;1211;1171;;;14929;14353;;
35;-45;;;;;1211;1172;;;14930;14353;;
40;-45;;;;;1205;1167;;;14850;14274;;
45;-45;;;;;1193;1156;;;14709;14136;;
50;-45;;;;;1177;1140;;;14509;13941;;
55;-45;;;;;1154;1117;;;14227;13666;;
60;-45;;;;;1125;1089;;;13876;13324;;
65;-45;;;;;1090;1055;;;13467;12926;;
70;-45;;;;;1051;1017;;;12998;12470;;
75;-45;;;;;1008;973.6;;;12471;11957;;
80;-45;;;;;960.1;925.9;;;11885;11387;;
85;-45;;;;;907.3;873.8;;;11243;10763;;
90;-45;;;;;851.4;817.7;;;10546;10085;;
0;0;;;;;1096;1048;;;13477;12950;;
5;0;;;;;1143;1096;;;14061;13517;;
10;0;;;;;1183;1138;;;14567;14009;;
15;0;;;;;1217;1173;;;14991;14419;;
20;0;;;;;1244;1202;;;15329;14747;;
25;0;;;;;1265;1224;;;15579;14989;;
30;0;;;;;1279;1238;;;15739;15143;;
35;0;;;;;1285;1245;;;15811;15212;;
40;0;;;;;1284;1244;;;15799;15200;;
45;0;;;;;1276;1237;;;15704;15107;;
50;0;;;;;1261;1223;;;15527;14935;;
55;0;;;;;1239;1201;;;15267;14682;;
60;0;;;;;1211;1173;;;14924;14349;;
65;0;;;;;1176;1138;;;14499;13936;;
70;0;;;;;1135;1096;;;13996;13448;;
75;0;;;;;1087;1049;;;13419;12888;;
80;0;;;;;1033;995.2;;;12765;12253;;
85;0;;;;;974.1;936.1;;;12037;11544;;
90;0;;;;;911.1;871.9;;;11240;10768;;
0;45;;;;;1096;1048;;;13477;12950;;
5;45;;;;;1129;1082;;;13891;13352;;
10;45;;;;;1157;1112;;;14243;13694;;
15;45;;;;;1180;1136;;;14529;13971;;
20;45;;;;;1197;1155;;;14742;14177;;
25;45;;;;;1209;1169;;;14889;14319;;
30;45;;;;;1215;1176;;;14959;14386;;
35;45;;;;;1216;1177;;;14962;14387;;
40;45;;;;;1212;1173;;;14895;14321;;
45;45;;;;;1200;1162;;;14750;14179;;
50;45;;;;;1183;1146;;;14546;13980;;
55;45;;;;;1161;1126;;;14285;13725;;
60;45;;;;;1134;1098;;;13943;13393;;
65;45;;;;;1101;1065;;;13536;12996;;
70;45;;;;;1062;1027;;;13070;12544;;
75;45;;;;;1018;984.6;;;12547;12035;;
80;45;;;;;971.8;937.7;;;11970;11473;;
85;45;;;;;920.8;887.0;;;11344;10864;;
90;45;;;;;865.0;831.5;;;10655;10193;;
0;90;;;;;1096;1048;;;13477;12950;;
5;90;;;;;1096;1048;;;13472;12945;;
10;90;;;;;1091;1045;;;13422;12896;;
15;90;;;;;1083;1039;;;13335;12810;;
20;90;;;;;1073;1031;;;13217;12694;;
25;90;;;;;1060;1020;;;13058;12538;;
30;90;;;;;1046;1007;;;12886;12369;;
35;90;;;;;1029;991.7;;;12672;12159;;
40;90;;;;;1010;974.3;;;12441;11933;;
45;90;;;;;988.4;953.6;;;12168;11666;;
50;90;;;;;964.6;931.3;;;11877;11381;;
55;90;;;;;937.8;905.2;;;11540;11052;;
60;90;;;;;908.5;877.0;;;11179;10699;;
65;90;;;;;877.8;846.7;;;10793;10322;;
70;90;;;;;842.8;812.5;;;10359;9899;;
75;90;;;;;804.8;776.2;;;9899;9451;;
80;90;;;;;767.2;738.3;;;9421;8985;;
85;90;;;;;726.7;697.7;;;8908;8483;;
90;90;;;;;682.7;655.0;;;8367;7955;;
