Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1096;1080;;;13879;13342;;
5;-90;;;;;1094;1078;;;13860;13322;;
10;-90;;;;;1089;1074;;;13797;13260;;
15;-90;;;;;1080;1066;;;13694;13157;;
20;-90;;;;;1070;1057;;;13564;13029;;
25;-90;;;;;1058;1045;;;13406;12873;;
30;-90;;;;;1044;1031;;;13223;12693;;
35;-90;;;;;1027;1015;;;13005;12480;;
40;-90;;;;;1008;996.4;;;12764;12244;;
45;-90;;;;;985.9;975.2;;;12488;11974;;
50;-90;;;;;962.4;951.9;;;12190;11682;;
55;-90;;;;;935.2;924.8;;;11845;11345;;
60;-90;;;;;906.2;896.1;;;11481;10989;;
65;-90;;;;;873.4;863.1;;;11063;10582;;
70;-90;;;;;837.6;828.1;;;10622;10151;;
75;-90;;;;;801.1;791.9;;;10167;9708;;
80;-90;;;;;761.8;751.8;;;9662;9215;;
85;-90;;;;;719.5;709.9;;;9134;8699;;
90;-90;;;;;673.9;665.1;;;8567;8147;;
0;-45;;;;;1096;1080;;;13879;13342;;
5;-45;;;;;1128;1113;;;14281;13732;;
10;-45;;;;;1155;1141;;;14618;14058;;
15;-45;;;;;1177;1164;;;14882;14314;;
20;-45;;;;;1194;1181;;;15084;14508;;
25;-45;;;;;1205;1193;;;15208;14627;;
30;-45;;;;;1211;1199;;;15267;14682;;
35;-45;;;;;1211;1200;;;15261;14676;;
40;-45;;;;;1205;1194;;;15173;14589;;
45;-45;;;;;1193;1182;;;15026;14444;;
50;-45;;;;;1177;1166;;;14825;14248;;
55;-45;;;;;1154;1143;;;14539;13969;;
60;-45;;;;;1125;1114;;;14178;13618;;
65;-45;;;;;1090;1079;;;13761;13212;;
70;-45;;;;;1051;1041;;;13291;12755;;
75;-45;;;;;1008;997.2;;;12761;12240;;
80;-45;;;;;960.1;948.8;;;12168;11663;;
85;-45;;;;;907.3;896.2;;;11522;11035;;
90;-45;;;;;851.4;839.6;;;10821;10353;;
0;0;;;;;1096;1080;;;13879;13342;;
5;0;;;;;1143;1128;;;14457;13903;;
10;0;;;;;1183;1169;;;14955;14386;;
15;0;;;;;1217;1204;;;15367;14786;;
20;0;;;;;1244;1232;;;15697;15105;;
25;0;;;;;1265;1253;;;15938;15338;;
30;0;;;;;1279;1267;;;16089;15484;;
35;0;;;;;1285;1273;;;16155;15546;;
40;0;;;;;1284;1273;;;16136;15528;;
45;0;;;;;1276;1265;;;16038;15431;;
50;0;;;;;1261;1250;;;15859;15258;;
55;0;;;;;1239;1229;;;15598;15004;;
60;0;;;;;1211;1200;;;15254;14669;;
65;0;;;;;1176;1165;;;14825;14254;;
70;0;;;;;1135;1123;;;14318;13761;;
75;0;;;;;1087;1075;;;13737;13197;;
80;0;;;;;1033;1021;;;13082;12561;;
85;0;;;;;974.1;961.5;;;12354;11853;;
90;0;;;;;911.1;897.2;;;11558;11079;;
0;45;;;;;1096;1080;;;13879;13342;;
5;45;;;;;1129;1114;;;14288;13739;;
10;45;;;;;1157;1143;;;14629;14070;;
15;45;;;;;1180;1166;;;14900;14333;;
20;45;;;;;1197;1184;;;15101;14527;;
25;45;;;;;1209;1197;;;15237;14658;;
30;45;;;;;1215;1204;;;15298;14715;;
35;45;;;;;1216;1205;;;15296;14712;;
40;45;;;;;1212;1200;;;15223;14640;;
45;45;;;;;1200;1189;;;15069;14489;;
50;45;;;;;1183;1172;;;14859;14284;;
55;45;;;;;1161;1151;;;14598;14030;;
60;45;;;;;1134;1124;;;14253;13694;;
65;45;;;;;1101;1090;;;13835;13287;;
70;45;;;;;1062;1051;;;13362;12828;;
75;45;;;;;1018;1008;;;12837;12317;;
80;45;;;;;971.8;960.8;;;12255;11751;;
85;45;;;;;920.8;909.4;;;11622;11135;;
90;45;;;;;865.0;853.4;;;10928;10460;;
0;90;;;;;1096;1080;;;13879;13342;;
5;90;;;;;1096;1080;;;13870;13333;;
10;90;;;;;1091;1076;;;13808;13272;;
15;90;;;;;1083;1069;;;13705;13171;;
20;90;;;;;1073;1060;;;13571;13039;;
25;90;;;;;1060;1047;;;13396;12868;;
30;90;;;;;1046;1034;;;13210;12685;;
35;90;;;;;1029;1017;;;12984;12464;;
40;90;;;;;1010;998.7;;;12743;12227;;
45;90;;;;;988.4;977.1;;;12459;11949;;
50;90;;;;;964.6;954.1;;;12160;11658;;
55;90;;;;;937.8;927.3;;;11814;11319;;
60;90;;;;;908.5;898.5;;;11446;10960;;
65;90;;;;;877.8;867.6;;;11054;10577;;
70;90;;;;;842.8;832.6;;;10609;10143;;
75;90;;;;;804.8;795.7;;;10144;9690;;
80;90;;;;;767.2;757.6;;;9664;9221;;
85;90;;;;;726.7;716.1;;;9139;8709;;
90;90;;;;;682.7;672.6;;;8588;8172;;
