Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1096;996.8;;;12832;12320;;
5;-90;;;;;1094;996.4;;;12828;12316;;
10;-90;;;;;1089;994.1;;;12796;12283;;
15;-90;;;;;1080;989.5;;;12732;12220;;
20;-90;;;;;1070;983.1;;;12644;12132;;
25;-90;;;;;1058;974.4;;;12526;12016;;
30;-90;;;;;1044;963.7;;;12381;11874;;
35;-90;;;;;1027;949.8;;;12198;11693;;
40;-90;;;;;1008;933.9;;;11988;11488;;
45;-90;;;;;985.9;914.8;;;11740;11245;;
50;-90;;;;;962.4;893.4;;;11465;10976;;
55;-90;;;;;935.2;868.4;;;11144;10663;;
60;-90;;;;;906.2;841.4;;;10801;10327;;
65;-90;;;;;873.4;810.5;;;10408;9944;;
70;-90;;;;;837.6;777.2;;;9986;9531;;
75;-90;;;;;801.1;742.2;;;9543;9099;;
80;-90;;;;;761.8;703.9;;;9060;8627;;
85;-90;;;;;719.5;663.9;;;8553;8133;;
90;-90;;;;;673.9;620.1;;;7996;7589;;
0;-45;;;;;1096;996.8;;;12832;12320;;
5;-45;;;;;1128;1030;;;13244;12721;;
10;-45;;;;;1155;1060;;;13603;13069;;
15;-45;;;;;1177;1084;;;13897;13354;;
20;-45;;;;;1194;1104;;;14128;13578;;
25;-45;;;;;1205;1117;;;14283;13726;;
30;-45;;;;;1211;1125;;;14368;13808;;
35;-45;;;;;1211;1128;;;14385;13823;;
40;-45;;;;;1205;1123;;;14321;13760;;
45;-45;;;;;1193;1113;;;14193;13634;;
50;-45;;;;;1177;1098;;;14002;13449;;
55;-45;;;;;1154;1076;;;13731;13184;;
60;-45;;;;;1125;1049;;;13392;12853;;
65;-45;;;;;1090;1016;;;12993;12465;;
70;-45;;;;;1051;978.5;;;12528;12013;;
75;-45;;;;;1008;935.9;;;12006;11505;;
80;-45;;;;;960.1;888.9;;;11427;10941;;
85;-45;;;;;907.3;837.5;;;10790;10322;;
90;-45;;;;;851.4;782.1;;;10098;9649;;
0;0;;;;;1096;996.8;;;12832;12320;;
5;0;;;;;1143;1044;;;13417;12889;;
10;0;;;;;1183;1087;;;13930;13388;;
15;0;;;;;1217;1123;;;14365;13810;;
20;0;;;;;1244;1152;;;14717;14152;;
25;0;;;;;1265;1175;;;14981;14407;;
30;0;;;;;1279;1190;;;15155;14575;;
35;0;;;;;1285;1198;;;15241;14658;;
40;0;;;;;1284;1198;;;15241;14658;;
45;0;;;;;1276;1192;;;15157;14575;;
50;0;;;;;1261;1178;;;14987;14410;;
55;0;;;;;1239;1157;;;14733;14163;;
60;0;;;;;1211;1129;;;14394;13834;;
65;0;;;;;1176;1095;;;13973;13425;;
70;0;;;;;1135;1054;;;13474;12941;;
75;0;;;;;1087;1006;;;12901;12383;;
80;0;;;;;1033;953.4;;;12249;11750;;
85;0;;;;;974.1;894.7;;;11521;11042;;
90;0;;;;;911.1;831.1;;;10727;10268;;
0;45;;;;;1096;996.8;;;12832;12320;;
5;45;;;;;1129;1031;;;13247;12725;;
10;45;;;;;1157;1061;;;13607;13075;;
15;45;;;;;1180;1086;;;13909;13367;;
20;45;;;;;1197;1106;;;14139;13591;;
25;45;;;;;1209;1121;;;14305;13750;;
30;45;;;;;1215;1130;;;14394;13836;;
35;45;;;;;1216;1132;;;14413;13853;;
40;45;;;;;1212;1129;;;14361;13801;;
45;45;;;;;1200;1120;;;14232;13675;;
50;45;;;;;1183;1105;;;14041;13488;;
55;45;;;;;1161;1085;;;13787;13241;;
60;45;;;;;1134;1058;;;13455;12918;;
65;45;;;;;1101;1026;;;13059;12532;;
70;45;;;;;1062;989.0;;;12603;12089;;
75;45;;;;;1018;947.0;;;12085;11585;;
80;45;;;;;971.8;900.8;;;11514;11030;;
85;45;;;;;920.8;850.9;;;10895;10427;;
90;45;;;;;865.0;796.0;;;10212;9761;;
0;90;;;;;1096;996.8;;;12832;12320;;
5;90;;;;;1096;997.2;;;12829;12318;;
10;90;;;;;1091;995.1;;;12792;12281;;
15;90;;;;;1083;990.8;;;12724;12214;;
20;90;;;;;1073;984.4;;;12629;12121;;
25;90;;;;;1060;975.0;;;12496;11990;;
30;90;;;;;1046;964.4;;;12348;11845;;
35;90;;;;;1029;950.4;;;12158;11659;;
40;90;;;;;1010;934.8;;;11949;11453;;
45;90;;;;;988.4;915.7;;;11696;11206;;
50;90;;;;;964.6;894.8;;;11423;10938;;
55;90;;;;;937.8;870.1;;;11103;10626;;
60;90;;;;;908.5;843.1;;;10757;10288;;
65;90;;;;;877.8;813.9;;;10384;9923;;
70;90;;;;;842.8;781.0;;;9964;9514;;
75;90;;;;;804.8;745.5;;;9515;9076;;
80;90;;;;;767.2;708.5;;;9045;8618;;
85;90;;;;;726.7;669.0;;;8544;8128;;
90;90;;;;;682.7;627.4;;;8016;7612;;
