Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;1096;1079;;;14791;14230;;
5;-180;;;;;1049;1031;;;14161;13617;;
10;-180;;;;;996.4;978.8;;;13460;12934;;
15;-180;;;;;940.6;923.7;;;12722;12215;;
20;-180;;;;;886.0;870.2;;;12006;11519;;
25;-180;;;;;832.3;817.1;;;11293;10825;;
30;-180;;;;;778.2;762.7;;;10556;10106;;
35;-180;;;;;724.3;708.9;;;9824;9391;;
40;-180;;;;;672.4;656.3;;;9102;8686;;
45;-180;;;;;621.7;606.1;;;8407;8006;;
50;-180;;;;;574.5;559.0;;;7751;7365;;
55;-180;;;;;530.4;514.6;;;7128;6754;;
60;-180;;;;;491.5;476.7;;;6592;6228;;
65;-180;;;;;460.5;448.9;;;6195;5838;;
70;-180;;;;;432.6;422.7;;;5821;5470;;
75;-180;;;;;406.8;397.8;;;5464;5119;;
80;-180;;;;;381.3;373.1;;;5111;4772;;
85;-180;;;;;357.6;349.6;;;4775;4442;;
90;-180;;;;;334.6;326.7;;;4446;4119;;
0;-157.5;;;;;1096;1079;;;14791;14230;;
5;-157.5;;;;;1052;1035;;;14205;13659;;
10;-157.5;;;;;1003;985.9;;;13554;13025;;
15;-157.5;;;;;951.8;934.8;;;12870;12359;;
20;-157.5;;;;;900.4;884.5;;;12197;11704;;
25;-157.5;;;;;849.9;834.3;;;11522;11046;;
30;-157.5;;;;;799.1;783.7;;;10837;10377;;
35;-157.5;;;;;749.3;733.8;;;10158;9715;;
40;-157.5;;;;;700.7;685.3;;;9493;9065;;
45;-157.5;;;;;654.4;639.0;;;8854;8440;;
50;-157.5;;;;;611.3;596.4;;;8262;7861;;
55;-157.5;;;;;572.1;559.3;;;7745;7354;;
60;-157.5;;;;;538.9;528.1;;;7307;6925;;
65;-157.5;;;;;509.5;499.6;;;6906;6532;;
70;-157.5;;;;;480.5;471.3;;;6506;6140;;
75;-157.5;;;;;452.3;443.7;;;6114;5755;;
80;-157.5;;;;;424.9;416.5;;;5729;5377;;
85;-157.5;;;;;398.3;390.2;;;5353;5008;;
90;-157.5;;;;;370.9;363.1;;;4968;4630;;
0;-135;;;;;1096;1079;;;14791;14230;;
5;-135;;;;;1062;1045;;;14336;13787;;
10;-135;;;;;1023;1007;;;13826;13290;;
15;-135;;;;;982.4;966.0;;;13282;12759;;
