Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;1096;929.8;;;12773;12262;;
5;-180;;;;;1049;882.7;;;12143;11648;;
10;-180;;;;;996.4;833.1;;;11477;10999;;
15;-180;;;;;940.6;782.7;;;10797;10336;;
20;-180;;;;;886.0;734.0;;;10139;9695;;
25;-180;;;;;832.3;685.9;;;9487;9059;;
30;-180;;;;;778.2;637.6;;;8826;8413;;
35;-180;;;;;724.3;590.9;;;8183;7785;;
40;-180;;;;;672.4;546.4;;;7565;7181;;
45;-180;;;;;621.7;505.2;;;6988;6616;;
50;-180;;;;;574.5;468.4;;;6470;6107;;
55;-180;;;;;530.4;435.6;;;6005;5650;;
60;-180;;;;;491.5;408.4;;;5617;5269;;
65;-180;;;;;460.5;387.3;;;5315;4972;;
70;-180;;;;;432.6;365.9;;;5008;4670;;
75;-180;;;;;406.8;344.7;;;4704;4371;;
80;-180;;;;;381.3;323.2;;;4395;4067;;
85;-180;;;;;357.6;302.3;;;4096;3773;;
90;-180;;;;;334.6;281.6;;;3800;3482;;
0;-157.5;;;;;1096;929.8;;;12773;12262;;
5;-157.5;;;;;1052;886.4;;;12194;11697;;
10;-157.5;;;;;1003;841.1;;;11585;11104;;
15;-157.5;;;;;951.8;795.2;;;10968;10502;;
20;-157.5;;;;;900.4;750.7;;;10367;9917;;
25;-157.5;;;;;849.9;706.7;;;9770;9334;;
30;-157.5;;;;;799.1;663.1;;;9175;8753;;
35;-157.5;;;;;749.3;621.3;;;8601;8192;;
40;-157.5;;;;;700.7;581.7;;;8052;7655;;
45;-157.5;;;;;654.4;544.8;;;7539;7152;;
50;-157.5;;;;;611.3;511.7;;;7075;6697;;
55;-157.5;;;;;572.1;482.7;;;6667;6298;;
60;-157.5;;;;;538.9;457.4;;;6311;5948;;
65;-157.5;;;;;509.5;433.7;;;5974;5618;;
70;-157.5;;;;;480.5;409.7;;;5633;5282;;
75;-157.5;;;;;452.3;385.7;;;5291;4946;;
80;-157.5;;;;;424.9;361.7;;;4949;4610;;
85;-157.5;;;;;398.3;338.2;;;4612;4280;;
90;-157.5;;;;;370.9;313.6;;;4261;3935;;
0;-135;;;;;1096;929.8;;;12773;12262;;
5;-135;;;;;1062;896.9;;;12334;11833;;
10;-135;;;;;1023;862.7;;;11875;11387;;
15;-135;;;;;982.4;828.3;;;11411;10934;;
20;-135;;;;;940.9;794.5;;;10954;10487;;
25;-135;;;;;899.7;761.5;;;10506;10050;;
30;-135;;;;;858.8;729.3;;;10067;9621;;
35;-135;;;;;819.5;698.6;;;9645;9208;;
40;-135;;;;;782.1;669.4;;;9243;8815;;
45;-135;;;;;746.8;641.6;;;8859;8440;;
50;-135;;;;;713.3;614.8;;;8487;8076;;
55;-135;;;;;681.6;588.9;;;8126;7722;;
60;-135;;;;;649.6;562.0;;;7751;7355;;
65;-135;;;;;618.5;535.1;;;7376;6988;;
70;-135;;;;;587.4;507.8;;;6994;6613;;
75;-135;;;;;555.5;479.4;;;6595;6223;;
80;-135;;;;;523.5;450.8;;;6193;5828;;
85;-135;;;;;491.7;421.6;;;5782;5426;;
90;-135;;;;;459.4;391.9;;;5363;5016;;
0;-112.5;;;;;1096;929.8;;;12773;12262;;
5;-112.5;;;;;1077;912.3;;;12539;12034;;
10;-112.5;;;;;1053;894.0;;;12293;11793;;
15;-112.5;;;;;1028;875.7;;;12043;11549;;
20;-112.5;;;;;1001;856.9;;;11787;11298;;
25;-112.5;;;;;974.9;838.5;;;11534;11050;;
30;-112.5;;;;;948.1;819.5;;;11272;10794;;
35;-112.5;;;;;921.4;800.1;;;11003;10530;;
40;-112.5;;;;;894.5;779.6;;;10719;10252;;
45;-112.5;;;;;867.4;758.4;;;10426;9966;;
50;-112.5;;;;;838.8;735.0;;;10102;9648;;
55;-112.5;;;;;810.0;710.9;;;9770;9324;;
60;-112.5;;;;;779.1;684.1;;;9400;8962;;
65;-112.5;;;;;747.4;656.2;;;9016;8587;;
70;-112.5;;;;;714.2;626.0;;;8600;8179;;
75;-112.5;;;;;679.4;594.4;;;8164;7753;;
80;-112.5;;;;;644.1;561.6;;;7711;7310;;
85;-112.5;;;;;607.0;526.8;;;7231;6841;;
