Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;1096;1043;;;14303;13753;;
5;-180;;;;;1049;994.9;;;13662;13130;;
10;-180;;;;;996.4;942.9;;;12967;12453;;
15;-180;;;;;940.6;889.1;;;12246;11751;;
20;-180;;;;;886.0;836.7;;;11546;11070;;
25;-180;;;;;832.3;784.4;;;10843;10384;;
30;-180;;;;;778.2;730.9;;;10117;9676;;
35;-180;;;;;724.3;678.2;;;9397;8973;;
40;-180;;;;;672.4;626.7;;;8690;8282;;
45;-180;;;;;621.7;578.0;;;8013;7621;;
50;-180;;;;;574.5;533.1;;;7387;7008;;
55;-180;;;;;530.4;492.2;;;6810;6442;;
60;-180;;;;;491.5;458.1;;;6327;5968;;
65;-180;;;;;460.5;432.6;;;5963;5610;;
70;-180;;;;;432.6;407.9;;;5609;5262;;
75;-180;;;;;406.8;384.0;;;5268;4926;;
80;-180;;;;;381.3;360.2;;;4927;4591;;
85;-180;;;;;357.6;337.4;;;4600;4269;;
90;-180;;;;;334.6;315.0;;;4279;3954;;
0;-157.5;;;;;1096;1043;;;14303;13753;;
5;-157.5;;;;;1052;998.4;;;13709;13175;;
10;-157.5;;;;;1003;950.3;;;13068;12551;;
15;-157.5;;;;;951.8;900.7;;;12404;11904;;
20;-157.5;;;;;900.4;852.0;;;11751;11268;;
25;-157.5;;;;;849.9;803.1;;;11093;10627;;
30;-157.5;;;;;799.1;753.8;;;10425;9975;;
35;-157.5;;;;;749.3;705.5;;;9767;9332;;
40;-157.5;;;;;700.7;658.9;;;9127;8707;;
45;-157.5;;;;;654.4;614.9;;;8519;8112;;
50;-157.5;;;;;611.3;575.0;;;7963;7567;;
55;-157.5;;;;;572.1;540.2;;;7477;7092;;
60;-157.5;;;;;538.9;510.6;;;7061;6684;;
65;-157.5;;;;;509.5;483.3;;;6676;6307;;
70;-157.5;;;;;480.5;456.1;;;6291;5929;;
75;-157.5;;;;;452.3;429.3;;;5911;5555;;
