Tilt,Azimuth,Pitch,GCR,Height,TrackPlaneTilt,GlobInc,GlobEff,ShdLoss,ShdElec,EArray,E_Grid,E_User
0,-90,,,,,1390,1371,,,17345,16717,
5,-90,,,,,1393,1374,,,17387,16756,
10,-90,,,,,1389,1372,,,17349,16718,
15,-90,,,,,1381,1365,,,17256,16626,
20,-90,,,,,1369,1353,,,17104,16476,
25,-90,,,,,1353,1339,,,16914,16289,
30,-90,,,,,1334,1320,,,16668,16047,
35,-90,,,,,1312,1298,,,16394,15779,
40,-90,,,,,1286,1273,,,16074,15466,
45,-90,,,,,1257,1243,,,15704,15104,
50,-90,,,,,1224,1212,,,15310,14720,
55,-90,,,,,1187,1175,,,14854,14275,
60,-90,,,,,1148,1136,,,14380,13813,
65,-90,,,,,1105,1093,,,13852,13298,
70,-90,,,,,1058,1046,,,13272,12732,
75,-90,,,,,1009,998.2,,,12691,12167,
80,-90,,,,,957.8,945.7,,,12046,11539,
85,-90,,,,,902.3,890.2,,,11361,10871,
90,-90,,,,,843.6,832.7,,,10649,10178,
0,-45,,,,,1390,1371,,,17345,16717,
5,-45,,,,,1429,1411,,,17833,17190,
10,-45,,,,,1461,1444,,,18224,17567,
15,-45,,,,,1485,1470,,,18526,17859,
20,-45,,,,,1503,1488,,,18731,18056,
25,-45,,,,,1513,1499,,,18845,18164,
30,-45,,,,,1517,1503,,,18883,18199,
35,-45,,,,,1513,1498,,,18810,18126,
40,-45,,,,,1500,1486,,,18651,17969,
45,-45,,,,,1480,1468,,,18436,17759,
50,-45,,,,,1455,1443,,,18133,17464,
55,-45,,,,,1422,1408,,,17722,17063,
60,-45,,,,,1381,1367,,,17236,16590,
65,-45,,,,,1333,1321,,,16698,16067,
70,-45,,,,,1282,1268,,,16075,15462,
75,-45,,,,,1223,1210,,,15375,14783,
80,-45,,,,,1159,1146,,,14616,14045,
85,-45,,,,,1091,1078,,,13792,13243,
90,-45,,,,,1019,1005,,,12905,12381,
0,0,,,,,1390,1371,,,17345,16717,
5,0,,,,,1442,1424,,,17986,17338,
10,0,,,,,1486,1470,,,18524,17859,
15,0,,,,,1522,1506,,,18953,18274,
20,0,,,,,1549,1534,,,19269,18580,
25,0,,,,,1566,1552,,,19477,18780,
30,0,,,,,1575,1561,,,19580,18878,
35,0,,,,,1575,1561,,,19583,18880,
40,0,,,,,1566,1553,,,19487,18786,
45,0,,,,,1549,1536,,,19289,18593,
50,0,,,,,1523,1510,,,18987,18300,
55,0,,,,,1488,1474,,,18581,17906,
60,0,,,,,1445,1431,,,18074,17414,
65,0,,,,,1393,1379,,,17472,16829,
70,0,,,,,1334,1320,,,16776,16155,
75,0,,,,,1268,1253,,,15986,15387,
80,0,,,,,1195,1180,,,15107,14534,
85,0,,,,,1118,1100,,,14147,13599,
90,0,,,,,1034,1015,,,13097,12578,
0,45,,,,,1390,1371,,,17345,16717,
5,45,,,,,1423,1406,,,17749,17108,
10,45,,,,,1450,1433,,,18061,17410,
15,45,,,,,1469,1453,,,18285,17626,
20,45,,,,,1482,1467,,,18434,17768,
25,45,,,,,1488,1473,,,18481,17812,
30,45,,,,,1486,1472,,,18460,17790,
35,45,,,,,1479,1466,,,18364,17695,
40,45,,,,,1464,1450,,,18157,17492,
45,45,,,,,1441,1427,,,17871,17213,
50,45,,,,,1412,1400,,,17541,16892,
55,45,,,,,1378,1365,,,17122,16486,
60,45,,,,,1336,1322,,,16607,15984,
65,45,,,,,1287,1273,,,16026,15419,
70,45,,,,,1234,1221,,,15394,14805,
75,45,,,,,1175,1162,,,14683,14113,
80,45,,,,,1112,1099,,,13923,13375,
85,45,,,,,1045,1031,,,13101,12575,
90,45,,,,,974.9,960.2,,,12235,11732,
0,90,,,,,1390,1371,,,17345,16717,
5,90,,,,,1384,1366,,,17268,16641,
10,90,,,,,1373,1356,,,17123,16500,
15,90,,,,,1358,1342,,,16927,16307,
20,90,,,,,1340,1324,,,16687,16072,
25,90,,,,,1318,1303,,,16413,15804,
30,90,,,,,1295,1280,,,16106,15504,
35,90,,,,,1267,1253,,,15753,15159,
40,90,,,,,1238,1224,,,15388,14803,
45,90,,,,,1205,1191,,,14968,14393,
50,90,,,,,1169,1156,,,14530,13966,
55,90,,,,,1131,1118,,,14048,13496,
60,90,,,,,1089,1077,,,13538,12998,
65,90,,,,,1047,1035,,,13022,12496,
70,90,,,,,1001,988.5,,,12443,11930,
75,90,,,,,950.8,939.9,,,11842,11344,
80,90,,,,,901.4,890.6,,,11234,10752,
85,90,,,,,850.1,837.7,,,10581,10114,
90,90,,,,,794.4,782.4,,,9894,9444,
