Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1272;;;16125;15529;;
5;-90;;;;;1393;1275;;;16176;15578;;
10;-90;;;;;1389;1275;;;16170;15571;;
15;-90;;;;;1381;1271;;;16117;15518;;
20;-90;;;;;1369;1263;;;16013;15414;;
25;-90;;;;;1353;1252;;;15866;15270;;
30;-90;;;;;1334;1236;;;15665;15072;;
35;-90;;;;;1312;1218;;;15427;14839;;
40;-90;;;;;1286;1195;;;15142;14560;;
45;-90;;;;;1257;1169;;;14807;14231;;
50;-90;;;;;1224;1139;;;14440;13874;;
55;-90;;;;;1187;1105;;;14014;13457;;
60;-90;;;;;1148;1068;;;13559;13014;;
65;-90;;;;;1105;1027;;;13056;12523;;
70;-90;;;;;1058;982.7;;;12503;11984;;
75;-90;;;;;1009;936.4;;;11933;11429;;
80;-90;;;;;957.8;886.0;;;11310;10821;;
85;-90;;;;;902.3;833.0;;;10652;10180;;
90;-90;;;;;843.6;776.5;;;9948;9494;;
0;-45;;;;;1390;1272;;;16125;15529;;
5;-45;;;;;1429;1312;;;16625;16014;;
10;-45;;;;;1461;1346;;;17042;16418;;
15;-45;;;;;1485;1374;;;17374;16739;;
20;-45;;;;;1503;1395;;;17614;16970;;
25;-45;;;;;1513;1407;;;17761;17111;;
30;-45;;;;;1517;1414;;;17827;17173;;
35;-45;;;;;1513;1411;;;17786;17131;;
40;-45;;;;;1500;1401;;;17659;17006;;
45;-45;;;;;1480;1384;;;17458;16809;;
50;-45;;;;;1455;1360;;;17166;16525;;
55;-45;;;;;1422;1328;;;16779;16148;;
60;-45;;;;;1381;1289;;;16318;15699;;
65;-45;;;;;1333;1244;;;15787;15183;;
70;-45;;;;;1282;1193;;;15175;14588;;
75;-45;;;;;1223;1136;;;14492;13924;;
80;-45;;;;;1159;1074;;;13741;13194;;
85;-45;;;;;1091;1007;;;12929;12405;;
90;-45;;;;;1019;935.9;;;12052;11551;;
0;0;;;;;1390;1272;;;16125;15529;;
5;0;;;;;1442;1325;;;16775;16160;;
10;0;;;;;1486;1371;;;17329;16698;;
15;0;;;;;1522;1409;;;17782;17136;;
20;0;;;;;1549;1437;;;18125;17468;;
25;0;;;;;1566;1457;;;18360;17695;;
30;0;;;;;1575;1468;;;18489;17819;;
35;0;;;;;1575;1470;;;18512;17841;;
40;0;;;;;1566;1463;;;18430;17760;;
45;0;;;;;1549;1447;;;18242;17577;;
50;0;;;;;1523;1421;;;17947;17291;;
55;0;;;;;1488;1387;;;17548;16903;;
60;0;;;;;1445;1344;;;17051;16420;;
65;0;;;;;1393;1294;;;16456;15843;;
70;0;;;;;1334;1235;;;15762;15169;;
75;0;;;;;1268;1169;;;14970;14400;;
80;0;;;;;1195;1097;;;14092;13545;;
85;0;;;;;1118;1019;;;13135;12614;;
90;0;;;;;1034;935.1;;;12098;11604;;
0;45;;;;;1390;1272;;;16125;15529;;
5;45;;;;;1423;1307;;;16544;15936;;
10;45;;;;;1450;1335;;;16883;16264;;
15;45;;;;;1469;1358;;;17140;16513;;
20;45;;;;;1482;1374;;;17319;16685;;
25;45;;;;;1488;1382;;;17402;16764;;
30;45;;;;;1486;1384;;;17409;16769;;
35;45;;;;;1479;1379;;;17334;16695;;
40;45;;;;;1464;1365;;;17157;16522;;
45;45;;;;;1441;1345;;;16902;16273;;
50;45;;;;;1412;1319;;;16584;15963;;
55;45;;;;;1378;1285;;;16176;15566;;
60;45;;;;;1336;1244;;;15685;15088;;
65;45;;;;;1287;1198;;;15126;14545;;
70;45;;;;;1234;1147;;;14505;13941;;
75;45;;;;;1175;1089;;;13811;13266;;
80;45;;;;;1112;1029;;;13069;12544;;
85;45;;;;;1045;962.7;;;12263;11760;;
90;45;;;;;974.9;893.7;;;11413;10931;;
0;90;;;;;1390;1272;;;16125;15529;;
5;90;;;;;1384;1267;;;16061;15467;;
10;90;;;;;1373;1260;;;15949;15357;;
15;90;;;;;1358;1249;;;15794;15205;;
20;90;;;;;1340;1235;;;15601;15016;;
25;90;;;;;1318;1217;;;15371;14790;;
30;90;;;;;1295;1197;;;15107;14533;;
35;90;;;;;1267;1174;;;14797;14229;;
40;90;;;;;1238;1148;;;14465;13905;;
45;90;;;;;1205;1118;;;14082;13531;;
50;90;;;;;1169;1086;;;13674;13133;;
55;90;;;;;1131;1050;;;13226;12695;;
60;90;;;;;1089;1012;;;12748;12229;;
65;90;;;;;1047;971.9;;;12251;11744;;
70;90;;;;;1001;927.7;;;11700;11207;;
75;90;;;;;950.8;881.4;;;11125;10646;;
80;90;;;;;901.4;833.2;;;10527;10062;;
85;90;;;;;850.1;782.8;;;9900;9451;;
90;90;;;;;794.4;730.0;;;9241;8807;;
