Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1333;;;16884;16268;;
5;-90;;;;;1393;1337;;;16931;16313;;
10;-90;;;;;1389;1335;;;16908;16288;;
15;-90;;;;;1381;1330;;;16832;16213;;
20;-90;;;;;1369;1320;;;16699;16082;;
25;-90;;;;;1353;1306;;;16524;15910;;
30;-90;;;;;1334;1288;;;16294;15684;;
35;-90;;;;;1312;1268;;;16031;15426;;
40;-90;;;;;1286;1243;;;15722;15123;;
45;-90;;;;;1257;1215;;;15364;14773;;
50;-90;;;;;1224;1184;;;14978;14397;;
55;-90;;;;;1187;1148;;;14532;13962;;
60;-90;;;;;1148;1110;;;14063;13504;;
65;-90;;;;;1105;1068;;;13545;12999;;
70;-90;;;;;1058;1021;;;12976;12445;;
75;-90;;;;;1009;974.2;;;12397;11881;;
80;-90;;;;;957.8;922.6;;;11761;11261;;
85;-90;;;;;902.3;868.2;;;11089;10606;;
90;-90;;;;;843.6;810.9;;;10377;9913;;
0;-45;;;;;1390;1333;;;16884;16268;;
5;-45;;;;;1429;1374;;;17379;16748;;
10;-45;;;;;1461;1408;;;17782;17137;;
15;-45;;;;;1485;1434;;;18097;17441;;
20;-45;;;;;1503;1453;;;18315;17652;;
25;-45;;;;;1513;1465;;;18441;17771;;
30;-45;;;;;1517;1469;;;18487;17814;;
35;-45;;;;;1513;1465;;;18425;17751;;
40;-45;;;;;1500;1454;;;18277;17606;;
45;-45;;;;;1480;1436;;;18064;17398;;
50;-45;;;;;1455;1411;;;17762;17103;;
55;-45;;;;;1422;1377;;;17361;16712;;
60;-45;;;;;1381;1337;;;16886;16250;;
65;-45;;;;;1333;1292;;;16349;15729;;
70;-45;;;;;1282;1240;;;15730;15127;;
75;-45;;;;;1223;1182;;;15039;14456;;
80;-45;;;;;1159;1119;;;14284;13722;;
85;-45;;;;;1091;1051;;;13465;12926;;
90;-45;;;;;1019;978.8;;;12582;12067;;
0;0;;;;;1390;1333;;;16884;16268;;
5;0;;;;;1442;1387;;;17530;16894;;
10;0;;;;;1486;1432;;;18075;17423;;
15;0;;;;;1522;1469;;;18514;17848;;
20;0;;;;;1549;1497;;;18843;18165;;
25;0;;;;;1566;1516;;;19061;18376;;
30;0;;;;;1575;1526;;;19174;18484;;
35;0;;;;;1575;1527;;;19184;18493;;
40;0;;;;;1566;1519;;;19091;18402;;
45;0;;;;;1549;1502;;;18894;18211;;
50;0;;;;;1523;1476;;;18594;17919;;
55;0;;;;;1488;1441;;;18191;17527;;
60;0;;;;;1445;1398;;;17688;17039;;
65;0;;;;;1393;1347;;;17090;16458;;
70;0;;;;;1334;1288;;;16395;15784;;
75;0;;;;;1268;1221;;;15604;15016;;
80;0;;;;;1195;1148;;;14723;14159;;
85;0;;;;;1118;1069;;;13760;13223;;
90;0;;;;;1034;984.0;;;12710;12201;;
0;45;;;;;1390;1333;;;16884;16268;;
5;45;;;;;1423;1368;;;17296;16667;;
10;45;;;;;1450;1396;;;17620;16981;;
15;45;;;;;1469;1417;;;17858;17211;;
20;45;;;;;1482;1432;;;18018;17364;;
25;45;;;;;1488;1439;;;18079;17421;;
30;45;;;;;1486;1439;;;18066;17407;;
35;45;;;;;1479;1433;;;17974;17317;;
40;45;;;;;1464;1418;;;17778;17124;;
45;45;;;;;1441;1396;;;17505;16857;;
50;45;;;;;1412;1369;;;17175;16538;;
55;45;;;;;1378;1334;;;16757;16131;;
60;45;;;;;1336;1292;;;16252;15639;;
65;45;;;;;1287;1245;;;15681;15084;;
70;45;;;;;1234;1192;;;15052;14473;;
75;45;;;;;1175;1134;;;14348;13788;;
80;45;;;;;1112;1072;;;13597;13057;;
85;45;;;;;1045;1005;;;12782;12265;;
90;45;;;;;974.9;935.0;;;11923;11428;;
0;90;;;;;1390;1333;;;16884;16268;;
5;90;;;;;1384;1329;;;16814;16199;;
10;90;;;;;1373;1320;;;16684;16072;;
15;90;;;;;1358;1307;;;16504;15896;;
20;90;;;;;1340;1291;;;16283;15679;;
25;90;;;;;1318;1271;;;16024;15426;;
30;90;;;;;1295;1249;;;15732;15140;;
35;90;;;;;1267;1223;;;15393;14809;;
40;90;;;;;1238;1195;;;15038;14462;;
45;90;;;;;1205;1163;;;14630;14064;;
50;90;;;;;1169;1129;;;14201;13646;;
55;90;;;;;1131;1092;;;13731;13187;;
60;90;;;;;1089;1052;;;13233;12702;;
65;90;;;;;1047;1011;;;12723;12204;;
70;90;;;;;1001;965.0;;;12156;11651;;
75;90;;;;;950.8;917.3;;;11565;11075;;
80;90;;;;;901.4;868.2;;;10958;10483;;
85;90;;;;;850.1;816.5;;;10317;9857;;
90;90;;;;;794.4;762.3;;;9643;9199;;
