Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1373;;;18426;17767;;
5;-90;;;;;1393;1376;;;18473;17811;;
10;-90;;;;;1389;1373;;;18433;17770;;
15;-90;;;;;1381;1366;;;18338;17676;;
20;-90;;;;;1369;1355;;;18178;17519;;
25;-90;;;;;1353;1340;;;17980;17323;;
30;-90;;;;;1334;1321;;;17720;17068;;
35;-90;;;;;1312;1300;;;17430;16784;;
40;-90;;;;;1286;1275;;;17093;16455;;
45;-90;;;;;1257;1245;;;16701;16072;;
50;-90;;;;;1224;1213;;;16285;15666;;
55;-90;;;;;1187;1176;;;15802;15195;;
60;-90;;;;;1148;1138;;;15299;14705;;
65;-90;;;;;1105;1095;;;14741;14162;;
70;-90;;;;;1058;1047;;;14124;13561;;
75;-90;;;;;1009;999.5;;;13507;12960;;
80;-90;;;;;957.8;947.0;;;12823;12294;;
85;-90;;;;;902.3;891.4;;;12094;11585;;
90;-90;;;;;843.6;833.6;;;11334;10845;;
0;-45;;;;;1390;1373;;;18426;17767;;
5;-45;;;;;1429;1413;;;18949;18273;;
10;-45;;;;;1461;1446;;;19366;18675;;
15;-45;;;;;1485;1472;;;19690;18987;;
20;-45;;;;;1503;1490;;;19910;19198;;
25;-45;;;;;1513;1501;;;20030;19312;;
30;-45;;;;;1517;1505;;;20072;19350;;
35;-45;;;;;1513;1500;;;19998;19275;;
40;-45;;;;;1500;1488;;;19829;19110;;
45;-45;;;;;1480;1470;;;19600;18886;;
50;-45;;;;;1455;1445;;;19282;18577;;
55;-45;;;;;1422;1410;;;18849;18155;;
60;-45;;;;;1381;1369;;;18334;17654;;
65;-45;;;;;1333;1323;;;17764;17100;;
70;-45;;;;;1282;1270;;;17106;16461;;
75;-45;;;;;1223;1211;;;16364;15741;;
80;-45;;;;;1159;1148;;;15557;14958;;
85;-45;;;;;1091;1079;;;14682;14108;;
90;-45;;;;;1019;1006;;;13738;13191;;
0;0;;;;;1390;1373;;;18426;17767;;
5;0;;;;;1442;1426;;;19110;18429;;
10;0;;;;;1486;1472;;;19685;18985;;
15;0;;;;;1522;1508;;;20143;19427;;
20;0;;;;;1549;1536;;;20481;19754;;
25;0;;;;;1566;1554;;;20702;19966;;
30;0;;;;;1575;1563;;;20811;20071;;
35;0;;;;;1575;1564;;;20815;20072;;
40;0;;;;;1566;1555;;;20713;19973;;
45;0;;;;;1549;1538;;;20503;19769;;
50;0;;;;;1523;1512;;;20185;19460;;
55;0;;;;;1488;1476;;;19755;19043;;
60;0;;;;;1445;1433;;;19218;18523;;
65;0;;;;;1393;1381;;;18580;17904;;
70;0;;;;;1334;1321;;;17842;17189;;
75;0;;;;;1268;1255;;;17006;16377;;
80;0;;;;;1195;1181;;;16071;15470;;
85;0;;;;;1118;1102;;;15050;14477;;
90;0;;;;;1034;1016;;;13935;13393;;
0;45;;;;;1390;1373;;;18426;17767;;
5;45;;;;;1423;1407;;;18857;18183;;
10;45;;;;;1450;1435;;;19190;18505;;
15;45;;;;;1469;1455;;;19429;18735;;
20;45;;;;;1482;1469;;;19589;18888;;
25;45;;;;;1488;1475;;;19640;18935;;
30;45;;;;;1486;1474;;;19616;18910;;
35;45;;;;;1479;1468;;;19515;18811;;
40;45;;;;;1464;1452;;;19298;18597;;
45;45;;;;;1441;1429;;;18994;18301;;
50;45;;;;;1412;1401;;;18641;17959;;
55;45;;;;;1378;1367;;;18199;17529;;
60;45;;;;;1336;1324;;;17654;16999;;
65;45;;;;;1287;1275;;;17037;16400;;
70;45;;;;;1234;1222;;;16367;15750;;
75;45;;;;;1175;1163;;;15613;15017;;
80;45;;;;;1112;1100;;;14806;14233;;
85;45;;;;;1045;1032;;;13933;13385;;
90;45;;;;;974.9;961.4;;;13011;12487;;
0;90;;;;;1390;1373;;;18426;17767;;
5;90;;;;;1384;1368;;;18343;17685;;
10;90;;;;;1373;1358;;;18189;17535;;
15;90;;;;;1358;1343;;;17980;17330;;
20;90;;;;;1340;1326;;;17727;17082;;
25;90;;;;;1318;1305;;;17436;16797;;
30;90;;;;;1295;1282;;;17111;16481;;
35;90;;;;;1267;1254;;;16736;16114;;
40;90;;;;;1238;1226;;;16351;15738;;
45;90;;;;;1205;1193;;;15906;15304;;
50;90;;;;;1169;1158;;;15441;14851;;
55;90;;;;;1131;1119;;;14931;14354;;
60;90;;;;;1089;1078;;;14388;13825;;
65;90;;;;;1047;1037;;;13842;13293;;
70;90;;;;;1001;989.9;;;13228;12694;;
75;90;;;;;950.8;941.0;;;12588;12071;;
80;90;;;;;901.4;891.7;;;11943;11442;;
85;90;;;;;850.1;838.9;;;11251;10768;;
90;90;;;;;794.4;783.4;;;10519;10054;;
