Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1191;;;16043;15447;;
5;-90;;;;;1393;1195;;;16107;15509;;
10;-90;;;;;1389;1197;;;16129;15529;;
15;-90;;;;;1381;1196;;;16117;15516;;
20;-90;;;;;1369;1192;;;16057;15455;;
25;-90;;;;;1353;1184;;;15956;15356;;
30;-90;;;;;1334;1172;;;15794;15195;;
35;-90;;;;;1312;1157;;;15593;14998;;
40;-90;;;;;1286;1138;;;15334;14745;;
45;-90;;;;;1257;1114;;;15018;14435;;
50;-90;;;;;1224;1088;;;14665;14091;;
55;-90;;;;;1187;1055;;;14240;13676;;
60;-90;;;;;1148;1021;;;13784;13232;;
65;-90;;;;;1105;981.5;;;13271;12731;;
70;-90;;;;;1058;937.7;;;12695;12170;;
75;-90;;;;;1009;892.4;;;12102;11592;;
80;-90;;;;;957.8;842.9;;;11450;10958;;
85;-90;;;;;902.3;790.2;;;10752;10278;;
90;-90;;;;;843.6;734.3;;;10009;9554;;
0;-45;;;;;1390;1191;;;16043;15447;;
5;-45;;;;;1429;1233;;;16594;15982;;
10;-45;;;;;1461;1269;;;17068;16441;;
15;-45;;;;;1485;1299;;;17465;16825;;
20;-45;;;;;1503;1323;;;17767;17116;;
25;-45;;;;;1513;1339;;;17968;17310;;
30;-45;;;;;1517;1348;;;18084;17421;;
35;-45;;;;;1513;1348;;;18081;17415;;
40;-45;;;;;1500;1340;;;17977;17312;;
45;-45;;;;;1480;1326;;;17792;17131;;
50;-45;;;;;1455;1303;;;17511;16857;;
55;-45;;;;;1422;1272;;;17119;16475;;
60;-45;;;;;1381;1234;;;16638;16007;;
65;-45;;;;;1333;1190;;;16080;15465;;
70;-45;;;;;1282;1139;;;15433;14837;;
75;-45;;;;;1223;1082;;;14704;14129;;
80;-45;;;;;1159;1020;;;13904;13351;;
85;-45;;;;;1091;953.2;;;13033;12505;;
90;-45;;;;;1019;881.6;;;12093;11591;;
0;0;;;;;1390;1191;;;16043;15447;;
5;0;;;;;1442;1246;;;16756;16140;;
10;0;;;;;1486;1293;;;17373;16738;;
15;0;;;;;1522;1333;;;17886;17235;;
20;0;;;;;1549;1364;;;18286;17622;;
25;0;;;;;1566;1386;;;18571;17897;;
30;0;;;;;1575;1399;;;18738;18058;;
35;0;;;;;1575;1403;;;18790;18107;;
40;0;;;;;1566;1397;;;18724;18043;;
45;0;;;;;1549;1382;;;18542;17865;;
50;0;;;;;1523;1357;;;18240;17573;;
55;0;;;;;1488;1323;;;17821;17166;;
60;0;;;;;1445;1280;;;17291;16651;;
65;0;;;;;1393;1230;;;16652;16032;;
70;0;;;;;1334;1171;;;15906;15307;;
75;0;;;;;1268;1104;;;15053;14478;;
80;0;;;;;1195;1031;;;14108;13560;;
85;0;;;;;1118;953.1;;;13086;12566;;
90;0;;;;;1034;870.3;;;11990;11499;;
0;45;;;;;1390;1191;;;16043;15447;;
5;45;;;;;1423;1227;;;16507;15898;;
10;45;;;;;1450;1258;;;16897;16276;;
15;45;;;;;1469;1283;;;17210;16579;;
20;45;;;;;1482;1302;;;17446;16807;;
25;45;;;;;1488;1313;;;17577;16932;;
30;45;;;;;1486;1318;;;17624;16976;;
35;45;;;;;1479;1316;;;17587;16938;;
40;45;;;;;1464;1305;;;17434;16788;;
45;45;;;;;1441;1286;;;17185;16545;;
50;45;;;;;1412;1261;;;16869;16238;;
55;45;;;;;1378;1230;;;16461;15841;;
60;45;;;;;1336;1190;;;15954;15348;;
65;45;;;;;1287;1145;;;15367;14778;;
70;45;;;;;1234;1094;;;14714;14143;;
75;45;;;;;1175;1037;;;13980;13430;;
80;45;;;;;1112;976.1;;;13194;12665;;
85;45;;;;;1045;910.4;;;12336;11830;;
90;45;;;;;974.9;841.3;;;11428;10945;;
0;90;;;;;1390;1191;;;16043;15447;;
5;90;;;;;1384;1188;;;15984;15390;;
10;90;;;;;1373;1182;;;15893;15301;;
15;90;;;;;1358;1174;;;15770;15180;;
20;90;;;;;1340;1163;;;15612;15026;;
25;90;;;;;1318;1150;;;15421;14838;;
30;90;;;;;1295;1133;;;15190;14613;;
35;90;;;;;1267;1113;;;14909;14337;;
40;90;;;;;1238;1091;;;14605;14040;;
45;90;;;;;1205;1064;;;14238;13682;;
50;90;;;;;1169;1035;;;13845;13298;;
55;90;;;;;1131;1002;;;13403;12866;;
60;90;;;;;1089;965.4;;;12920;12396;;
65;90;;;;;1047;927.3;;;12417;11906;;
70;90;;;;;1001;884.5;;;11851;11353;;
75;90;;;;;950.8;839.0;;;11251;10767;;
80;90;;;;;901.4;792.0;;;10631;10163;;
85;90;;;;;850.1;742.4;;;9976;9524;;
90;90;;;;;794.4;689.8;;;9277;8842;;
