Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-90;;;;;1390;1332;;;17881;17236;;
5;-90;;;;;1393;1335;;;17936;17288;;
10;-90;;;;;1389;1334;;;17921;17271;;
15;-90;;;;;1381;1330;;;17854;17205;;
20;-90;;;;;1369;1320;;;17726;17078;;
25;-90;;;;;1353;1308;;;17554;16909;;
30;-90;;;;;1334;1291;;;17319;16678;;
35;-90;;;;;1312;1270;;;17050;16414;;
40;-90;;;;;1286;1246;;;16729;16100;;
45;-90;;;;;1257;1218;;;16353;15733;;
50;-90;;;;;1224;1187;;;15947;15337;;
55;-90;;;;;1187;1151;;;15475;14876;;
60;-90;;;;;1148;1113;;;14979;14393;;
65;-90;;;;;1105;1071;;;14428;13856;;
70;-90;;;;;1058;1024;;;13818;13262;;
75;-90;;;;;1009;976.4;;;13202;12662;;
80;-90;;;;;957.8;924.3;;;12522;12001;;
85;-90;;;;;902.3;869.1;;;11798;11296;;
90;-90;;;;;843.6;811.3;;;11035;10553;;
0;-45;;;;;1390;1332;;;17881;17236;;
5;-45;;;;;1429;1373;;;18421;17758;;
10;-45;;;;;1461;1408;;;18864;18186;;
15;-45;;;;;1485;1435;;;19216;18526;;
20;-45;;;;;1503;1456;;;19464;18764;;
25;-45;;;;;1513;1468;;;19608;18902;;
30;-45;;;;;1517;1474;;;19669;18958;;
35;-45;;;;;1513;1470;;;19611;18900;;
40;-45;;;;;1500;1458;;;19457;18748;;
45;-45;;;;;1480;1441;;;19235;18531;;
50;-45;;;;;1455;1416;;;18921;18226;;
55;-45;;;;;1422;1382;;;18497;17812;;
60;-45;;;;;1381;1342;;;17989;17319;;
65;-45;;;;;1333;1296;;;17417;16763;;
70;-45;;;;;1282;1243;;;16757;16122;;
75;-45;;;;;1223;1184;;;16016;15403;;
80;-45;;;;;1159;1121;;;15206;14616;;
85;-45;;;;;1091;1052;;;14327;13763;;
90;-45;;;;;1019;978.9;;;13375;12838;;
0;0;;;;;1390;1332;;;17881;17236;;
5;0;;;;;1442;1386;;;18583;17916;;
10;0;;;;;1486;1433;;;19178;18492;;
15;0;;;;;1522;1471;;;19659;18957;;
20;0;;;;;1549;1500;;;20021;19307;;
25;0;;;;;1566;1520;;;20264;19540;;
30;0;;;;;1575;1530;;;20391;19662;;
35;0;;;;;1575;1531;;;20407;19677;;
40;0;;;;;1566;1524;;;20314;19585;;
45;0;;;;;1549;1507;;;20109;19386;;
50;0;;;;;1523;1481;;;19791;19078;;
55;0;;;;;1488;1445;;;19361;18660;;
60;0;;;;;1445;1402;;;18823;18138;;
65;0;;;;;1393;1350;;;18180;17515;;
70;0;;;;;1334;1290;;;17434;16792;;
75;0;;;;;1268;1222;;;16583;15966;;
80;0;;;;;1195;1148;;;15633;15043;;
85;0;;;;;1118;1067;;;14594;14033;;
90;0;;;;;1034;980.7;;;13463;12933;;
0;45;;;;;1390;1332;;;17881;17236;;
5;45;;;;;1423;1367;;;18329;17670;;
10;45;;;;;1450;1396;;;18687;18015;;
15;45;;;;;1469;1418;;;18954;18273;;
20;45;;;;;1482;1434;;;19139;18451;;
25;45;;;;;1488;1442;;;19214;18521;;
30;45;;;;;1486;1443;;;19209;18515;;
35;45;;;;;1479;1437;;;19122;18428;;
40;45;;;;;1464;1422;;;18919;18229;;
45;45;;;;;1441;1400;;;18626;17943;;
50;45;;;;;1412;1373;;;18277;17605;;
55;45;;;;;1378;1338;;;17837;17177;;
60;45;;;;;1336;1296;;;17299;16654;;
65;45;;;;;1287;1248;;;16688;16061;;
70;45;;;;;1234;1195;;;16017;15409;;
75;45;;;;;1175;1136;;;15264;14677;;
80;45;;;;;1112;1074;;;14458;13894;;
85;45;;;;;1045;1006;;;13583;13043;;
90;45;;;;;974.9;934.7;;;12658;12143;;
0;90;;;;;1390;1332;;;17881;17236;;
5;90;;;;;1384;1327;;;17807;17163;;
10;90;;;;;1373;1319;;;17675;17034;;
15;90;;;;;1358;1306;;;17494;16857;;
20;90;;;;;1340;1291;;;17269;16637;;
25;90;;;;;1318;1272;;;17006;16379;;
30;90;;;;;1295;1250;;;16704;16084;;
35;90;;;;;1267;1225;;;16351;15739;;
40;90;;;;;1238;1198;;;15981;15378;;
45;90;;;;;1205;1166;;;15552;14959;;
50;90;;;;;1169;1132;;;15101;14520;;
55;90;;;;;1131;1094;;;14604;14035;;
60;90;;;;;1089;1054;;;14074;13519;;
65;90;;;;;1047;1013;;;13534;12993;;
70;90;;;;;1001;967.2;;;12929;12403;;
75;90;;;;;950.8;918.9;;;12296;11785;;
80;90;;;;;901.4;869.7;;;11651;11157;;
85;90;;;;;850.1;817.4;;;10965;10489;;
90;90;;;;;794.4;762.3;;;10238;9780;;
