Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;1390;1193;;;16085;15490;;
5;-180;;;;;1335;1136;;;15333;14759;;
10;-180;;;;;1272;1074;;;14509;13957;;
15;-180;;;;;1203;1009;;;13636;13107;;
20;-180;;;;;1129;941.2;;;12737;12231;;
25;-180;;;;;1054;874.8;;;11852;11368;;
30;-180;;;;;982.6;812.3;;;11025;10561;;
35;-180;;;;;912.8;750.9;;;10209;9764;;
40;-180;;;;;844.6;691.4;;;9414;8988;;
45;-180;;;;;779.3;634.6;;;8652;8243;;
50;-180;;;;;717.4;581.5;;;7933;7539;;
55;-180;;;;;658.3;531.6;;;7252;6873;;
60;-180;;;;;599.6;485.2;;;6612;6245;;
65;-180;;;;;545.5;445.3;;;6057;5699;;
70;-180;;;;;497.3;410.9;;;5576;5225;;
75;-180;;;;;459.2;384.3;;;5201;4857;;
80;-180;;;;;425.7;357.9;;;4828;4490;;
85;-180;;;;;395.4;332.5;;;4469;4137;;
90;-180;;;;;366.5;307.6;;;4117;3790;;
0;-157.5;;;;;1390;1193;;;16085;15490;;
5;-157.5;;;;;1339;1141;;;15406;14829;;
10;-157.5;;;;;1282;1085;;;14661;14105;;
15;-157.5;;;;;1219;1026;;;13875;13339;;
20;-157.5;;;;;1152;965.1;;;13070;12553;;
25;-157.5;;;;;1083;904.5;;;12264;11768;;
30;-157.5;;;;;1014;845.7;;;11484;11007;;
35;-157.5;;;;;948.5;789.4;;;10738;10278;;
40;-157.5;;;;;884.9;734.8;;;10012;9569;;
45;-157.5;;;;;823.1;682.4;;;9309;8882;;
50;-157.5;;;;;763.3;632.7;;;8639;8226;;
55;-157.5;;;;;706.1;586.3;;;8009;7609;;
60;-157.5;;;;;652.1;544.0;;;7429;7041;;
65;-157.5;;;;;603.3;506.6;;;6913;6535;;
70;-157.5;;;;;562.3;473.7;;;6456;6087;;
75;-157.5;;;;;524.3;442.5;;;6020;5660;;
80;-157.5;;;;;488.0;411.8;;;5591;5238;;
85;-157.5;;;;;454.0;382.5;;;5178;4832;;
90;-157.5;;;;;420.7;352.9;;;4762;4424;;
0;-135;;;;;1390;1193;;;16085;15490;;
5;-135;;;;;1352;1155;;;15584;15003;;
