Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;1390;1371;;;18430;17773;;
5;-180;;;;;1335;1315;;;17706;17070;;
10;-180;;;;;1272;1253;;;16881;16269;;
15;-180;;;;;1203;1183;;;15962;15375;;
20;-180;;;;;1129;1109;;;14970;14409;;
25;-180;;;;;1054;1034;;;13977;13441;;
30;-180;;;;;982.6;963.5;;;13052;12540;;
35;-180;;;;;912.8;894.0;;;12132;11644;;
40;-180;;;;;844.6;826.4;;;11237;10771;;
45;-180;;;;;779.3;761.9;;;10380;9934;;
50;-180;;;;;717.4;700.5;;;9560;9132;;
55;-180;;;;;658.3;640.5;;;8751;8342;;
60;-180;;;;;599.6;581.0;;;7941;7549;;
65;-180;;;;;545.5;527.2;;;7201;6823;;
70;-180;;;;;497.3;480.6;;;6555;6189;;
75;-180;;;;;459.2;446.4;;;6077;5719;;
80;-180;;;;;425.7;414.9;;;5633;5282;;
85;-180;;;;;395.4;385.4;;;5218;4875;;
90;-180;;;;;366.5;357.3;;;4820;4483;;
0;-157.5;;;;;1390;1371;;;18430;17773;;
5;-157.5;;;;;1339;1320;;;17774;17136;;
10;-157.5;;;;;1282;1263;;;17022;16405;;
15;-157.5;;;;;1219;1199;;;16186;15592;;
20;-157.5;;;;;1152;1132;;;15292;14721;;
25;-157.5;;;;;1083;1062;;;14374;13827;;
30;-157.5;;;;;1014;994.9;;;13481;12956;;
35;-157.5;;;;;948.5;930.0;;;12625;12121;;
40;-157.5;;;;;884.9;866.7;;;11788;11305;;
45;-157.5;;;;;823.1;805.0;;;10969;10505;;
50;-157.5;;;;;763.3;745.4;;;10172;9726;;
55;-157.5;;;;;706.1;688.4;;;9406;8977;;
60;-157.5;;;;;652.1;635.7;;;8691;8277;;
65;-157.5;;;;;603.3;589.6;;;8061;7661;;
70;-157.5;;;;;562.3;550.0;;;7516;7127;;
75;-157.5;;;;;524.3;513.2;;;7007;6628;;
80;-157.5;;;;;488.0;477.7;;;6513;6143;;
85;-157.5;;;;;454.0;444.2;;;6045;5684;;
90;-157.5;;;;;420.7;411.0;;;5580;5227;;
0;-135;;;;;1390;1371;;;18430;17773;;
5;-135;;;;;1352;1333;;;17940;17296;;
10;-135;;;;;1307;1289;;;17362;16734;;
15;-135;;;;;1258;1240;;;16721;16110;;
20;-135;;;;;1206;1188;;;16036;15442;;
25;-135;;;;;1152;1134;;;15329;14753;;
30;-135;;;;;1098;1080;;;14620;14061;;
35;-135;;;;;1044;1027;;;13915;13374;;
40;-135;;;;;991.4;975.0;;;13226;12701;;
45;-135;;;;;940.3;924.7;;;12558;12049;;
50;-135;;;;;891.6;876.8;;;11921;11427;;
55;-135;;;;;844.6;830.6;;;11304;10825;;
60;-135;;;;;799.3;786.1;;;10707;10242;;
65;-135;;;;;755.0;742.3;;;10116;9664;;
70;-135;;;;;712.1;700.1;;;9545;9106;;
75;-135;;;;;669.2;657.7;;;8969;8544;;
80;-135;;;;;627.3;616.1;;;8402;7989;;
85;-135;;;;;585.2;574.4;;;7831;7430;;
90;-135;;;;;544.3;533.2;;;7264;6876;;
0;-112.5;;;;;1390;1371;;;18430;17773;;
5;-112.5;;;;;1370;1351;;;18178;17527;;
10;-112.5;;;;;1344;1326;;;17844;17201;;
15;-112.5;;;;;1313;1296;;;17454;16820;;
20;-112.5;;;;;1281;1264;;;17033;16409;;
25;-112.5;;;;;1246;1230;;;16579;15964;;
30;-112.5;;;;;1210;1195;;;16113;15510;;
35;-112.5;;;;;1173;1158;;;15624;15033;;
40;-112.5;;;;;1135;1120;;;15131;14551;;
45;-112.5;;;;;1096;1082;;;14621;14054;;
50;-112.5;;;;;1056;1043;;;14106;13551;;
55;-112.5;;;;;1015;1002;;;13560;13018;;
60;-112.5;;;;;973.7;961.1;;;13020;12491;;
65;-112.5;;;;;929.2;916.9;;;12433;11918;;
70;-112.5;;;;;884.7;873.3;;;11852;11352;;
75;-112.5;;;;;838.4;826.9;;;11235;10750;;
80;-112.5;;;;;790.9;779.7;;;10604;10134;;
85;-112.5;;;;;743.8;732.2;;;9968;9514;;
90;-112.5;;;;;694.2;682.3;;;9295;8857;;
0;-90;;;;;1390;1371;;;18430;17773;;
5;-90;;;;;1391;1372;;;18452;17792;;
10;-90;;;;;1385;1368;;;18390;17729;;
15;-90;;;;;1376;1359;;;18269;17610;;
20;-90;;;;;1362;1347;;;18096;17438;;
25;-90;;;;;1346;1331;;;17885;17231;;
30;-90;;;;;1326;1311;;;17615;16965;;
35;-90;;;;;1302;1289;;;17312;16668;;
40;-90;;;;;1276;1263;;;16969;16333;;
45;-90;;;;;1246;1233;;;16570;15944;;
50;-90;;;;;1214;1201;;;16143;15527;;
55;-90;;;;;1176;1164;;;15657;15052;;
60;-90;;;;;1136;1125;;;15148;14556;;
65;-90;;;;;1094;1082;;;14585;14008;;
70;-90;;;;;1046;1034;;;13966;13405;;
75;-90;;;;;998.1;986.9;;;13351;12806;;
80;-90;;;;;946.7;934.6;;;12665;12138;;
