Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;1390;1330;;;17882;17239;;
5;-180;;;;;1335;1273;;;17138;16516;;
10;-180;;;;;1272;1209;;;16299;15701;;
15;-180;;;;;1203;1140;;;15382;14808;;
20;-180;;;;;1129;1067;;;14414;13866;;
25;-180;;;;;1054;994.7;;;13450;12928;;
30;-180;;;;;982.6;926.3;;;12549;12050;;
35;-180;;;;;912.8;858.4;;;11652;11175;;
40;-180;;;;;844.6;792.1;;;10774;10318;;
45;-180;;;;;779.3;728.5;;;9928;9491;;
50;-180;;;;;717.4;667.7;;;9114;8696;;
55;-180;;;;;658.3;609.1;;;8322;7922;;
60;-180;;;;;599.6;552.9;;;7553;7169;;
65;-180;;;;;545.5;503.4;;;6870;6498;;
70;-180;;;;;497.3;461.1;;;6282;5921;;
75;-180;;;;;459.2;429.6;;;5840;5486;;
80;-180;;;;;425.7;399.7;;;5419;5071;;
85;-180;;;;;395.4;371.4;;;5020;4679;;
90;-180;;;;;366.5;344.1;;;4634;4300;;
0;-157.5;;;;;1390;1330;;;17882;17239;;
5;-157.5;;;;;1339;1278;;;17208;16584;;
10;-157.5;;;;;1282;1220;;;16446;15843;;
15;-157.5;;;;;1219;1157;;;15616;15035;;
20;-157.5;;;;;1152;1091;;;14742;14184;;
25;-157.5;;;;;1083;1024;;;13855;13320;;
30;-157.5;;;;;1014;958.5;;;12991;12477;;
35;-157.5;;;;;948.5;895.5;;;12160;11667;;
40;-157.5;;;;;884.9;833.9;;;11346;10873;;
45;-157.5;;;;;823.1;774.0;;;10549;10095;;
50;-157.5;;;;;763.3;716.5;;;9779;9342;;
55;-157.5;;;;;706.1;662.1;;;9046;8624;;
60;-157.5;;;;;652.1;612.2;;;8368;7961;;
65;-157.5;;;;;603.3;568.5;;;7770;7375;;
70;-157.5;;;;;562.3;530.6;;;7248;6863;;
75;-157.5;;;;;524.3;495.2;;;6757;6382;;
80;-157.5;;;;;488.0;461.0;;;6279;5913;;
85;-157.5;;;;;454.0;428.4;;;5824;5467;;
90;-157.5;;;;;420.7;396.1;;;5370;5021;;
0;-135;;;;;1390;1330;;;17882;17239;;
5;-135;;;;;1352;1291;;;17381;16752;;
10;-135;;;;;1307;1247;;;16805;16191;;
15;-135;;;;;1258;1199;;;16178;15580;;
20;-135;;;;;1206;1149;;;15514;14933;;
25;-135;;;;;1152;1097;;;14833;14269;;
30;-135;;;;;1098;1045;;;14151;13604;;
35;-135;;;;;1044;994.4;;;13476;12945;;
40;-135;;;;;991.4;944.5;;;12815;12300;;
45;-135;;;;;940.3;896.1;;;12173;11673;;
50;-135;;;;;891.6;850.0;;;11558;11073;;
55;-135;;;;;844.6;805.4;;;10962;10491;;
60;-135;;;;;799.3;762.4;;;10384;9926;;
65;-135;;;;;755.0;719.7;;;9809;9364;;
70;-135;;;;;712.1;678.6;;;9252;8820;;
75;-135;;;;;669.2;637.2;;;8688;8269;;
80;-135;;;;;627.3;596.5;;;8132;7725;;
85;-135;;;;;585.2;555.5;;;7570;7175;;
90;-135;;;;;544.3;514.9;;;7011;6628;;
0;-112.5;;;;;1390;1330;;;17882;17239;;
5;-112.5;;;;;1370;1310;;;17628;16991;;
10;-112.5;;;;;1344;1285;;;17310;16680;;
15;-112.5;;;;;1313;1258;;;16943;16322;;
20;-112.5;;;;;1281;1228;;;16550;15938;;
25;-112.5;;;;;1246;1195;;;16123;15521;;
30;-112.5;;;;;1210;1162;;;15683;15091;;
35;-112.5;;;;;1173;1127;;;15218;14637;;
40;-112.5;;;;;1135;1091;;;14745;14175;;
45;-112.5;;;;;1096;1054;;;14254;13696;;
50;-112.5;;;;;1056;1017;;;13754;13208;;
55;-112.5;;;;;1015;976.5;;;13222;12689;;
60;-112.5;;;;;973.7;936.8;;;12695;12174;;
65;-112.5;;;;;929.2;893.5;;;12119;11613;;
70;-112.5;;;;;884.7;850.5;;;11547;11054;;
75;-112.5;;;;;838.4;804.9;;;10937;10459;;
80;-112.5;;;;;790.9;758.2;;;10314;9851;;
85;-112.5;;;;;743.8;711.2;;;9682;9235;;
90;-112.5;;;;;694.2;661.8;;;9016;8584;;
0;-90;;;;;1390;1330;;;17882;17239;;
5;-90;;;;;1391;1332;;;17911;17265;;
10;-90;;;;;1385;1329;;;17872;17226;;
15;-90;;;;;1376;1322;;;17781;17134;;
20;-90;;;;;1362;1312;;;17638;16993;;
25;-90;;;;;1346;1298;;;17454;16812;;
30;-90;;;;;1326;1280;;;17208;16570;;
35;-90;;;;;1302;1259;;;16925;16292;;
40;-90;;;;;1276;1234;;;16598;15973;;
45;-90;;;;;1246;1206;;;16216;15599;;
50;-90;;;;;1214;1174;;;15801;15194;;
55;-90;;;;;1176;1138;;;15326;14730;;
60;-90;;;;;1136;1100;;;14825;14241;;
65;-90;;;;;1094;1058;;;14270;13701;;
70;-90;;;;;1046;1011;;;13659;13106;;
75;-90;;;;;998.1;963.8;;;13045;12508;;
80;-90;;;;;946.7;912.1;;;12366;11847;;
85;-90;;;;;891.5;857.4;;;11647;11147;;
90;-90;;;;;833.8;800.7;;;10896;10416;;
0;-67.5;;;;;1390;1330;;;17882;17239;;
5;-67.5;;;;;1411;1353;;;18185;17531;;
10;-67.5;;;;;1426;1370;;;18408;17745;;
15;-67.5;;;;;1435;1383;;;18564;17894;;
20;-67.5;;;;;1439;1389;;;18634;17958;;
25;-67.5;;;;;1437;1390;;;18636;17958;;
30;-67.5;;;;;1430;1385;;;18561;17882;;
35;-67.5;;;;;1418;1374;;;18410;17733;;
40;-67.5;;;;;1401;1359;;;18197;17524;;
45;-67.5;;;;;1377;1335;;;17884;17218;;
50;-67.5;;;;;1347;1308;;;17525;16867;;
55;-67.5;;;;;1315;1276;;;17111;16463;;
60;-67.5;;;;;1275;1235;;;16593;15958;;
65;-67.5;;;;;1228;1191;;;16019;15399;;
70;-67.5;;;;;1180;1144;;;15421;14818;;
75;-67.5;;;;;1127;1090;;;14728;14144;;
80;-67.5;;;;;1070;1033;;;13987;13424;;
85;-67.5;;;;;1007;971.3;;;13191;12651;;
90;-67.5;;;;;945.0;907.6;;;12359;11841;;
0;-45;;;;;1390;1330;;;17882;17239;;
5;-45;;;;;1429;1370;;;18411;17751;;
10;-45;;;;;1459;1404;;;18845;18169;;
15;-45;;;;;1483;1431;;;19189;18500;;
20;-45;;;;;1501;1451;;;19431;18733;;
25;-45;;;;;1510;1463;;;19574;18868;;
30;-45;;;;;1514;1468;;;19635;18924;;
35;-45;;;;;1509;1464;;;19576;18865;;
40;-45;;;;;1496;1453;;;19419;18711;;
45;-45;;;;;1476;1435;;;19198;18495;;
50;-45;;;;;1452;1410;;;18881;18186;;
55;-45;;;;;1418;1376;;;18451;17767;;
60;-45;;;;;1377;1336;;;17937;17267;;
65;-45;;;;;1330;1290;;;17360;16706;;
70;-45;;;;;1278;1237;;;16693;16058;;
75;-45;;;;;1219;1178;;;15947;15334;;
80;-45;;;;;1155;1114;;;15130;14541;;
85;-45;;;;;1087;1046;;;14243;13679;;
90;-45;;;;;1015;972.6;;;13293;12757;;
0;-22.5;;;;;1390;1330;;;17882;17239;;
5;-22.5;;;;;1440;1382;;;18556;17891;;
10;-22.5;;;;;1481;1426;;;19123;18439;;
15;-22.5;;;;;1515;1462;;;19583;18883;;
20;-22.5;;;;;1540;1490;;;19935;19223;;
25;-22.5;;;;;1557;1509;;;20171;19449;;
30;-22.5;;;;;1566;1518;;;20287;19560;;
35;-22.5;;;;;1565;1519;;;20296;19566;;
40;-22.5;;;;;1556;1512;;;20208;19479;;
45;-22.5;;;;;1540;1496;;;20012;19288;;
50;-22.5;;;;;1514;1471;;;19694;18979;;
55;-22.5;;;;;1480;1437;;;19268;18565;;
60;-22.5;;;;;1438;1395;;;18745;18058;;
65;-22.5;;;;;1388;1345;;;18129;17460;;
70;-22.5;;;;;1332;1288;;;17413;16765;;
75;-22.5;;;;;1269;1224;;;16605;15981;;
80;-22.5;;;;;1199;1153;;;15704;15107;;
85;-22.5;;;;;1124;1077;;;14719;14150;;
90;-22.5;;;;;1045;994.9;;;13653;13115;;
0;0;;;;;1390;1330;;;17882;17239;;
5;0;;;;;1443;1385;;;18597;17932;;
10;0;;;;;1488;1433;;;19205;18520;;
15;0;;;;;1524;1472;;;19698;18996;;
20;0;;;;;1552;1501;;;20072;19357;;
25;0;;;;;1571;1522;;;20328;19603;;
30;0;;;;;1581;1533;;;20468;19737;;
35;0;;;;;1581;1535;;;20495;19761;;
40;0;;;;;1573;1528;;;20407;19675;;
45;0;;;;;1556;1512;;;20204;19477;;
