Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;2008;1987;;;25230;24375;;
5;-180;;;;;1949;1928;;;24525;23692;;
10;-180;;;;;1879;1857;;;23677;22871;;
15;-180;;;;;1797;1776;;;22689;21912;;
20;-180;;;;;1706;1684;;;21574;20831;;
25;-180;;;;;1607;1583;;;20331;19624;;
30;-180;;;;;1499;1473;;;18968;18298;;
35;-180;;;;;1387;1358;;;17530;16898;;
40;-180;;;;;1272;1244;;;16085;15490;;
45;-180;;;;;1166;1142;;;14811;14250;;
50;-180;;;;;1070;1047;;;13625;13096;;
55;-180;;;;;977.8;954.7;;;12467;11967;;
60;-180;;;;;887.3;865.3;;;11329;10857;;
65;-180;;;;;799.7;779.1;;;10224;9776;;
70;-180;;;;;718.0;697.4;;;9165;8742;;
75;-180;;;;;642.4;620.9;;;8165;7764;;
80;-180;;;;;571.4;549.3;;;7218;6837;;
85;-180;;;;;505.5;484.4;;;6353;5987;;
90;-180;;;;;446.2;429.7;;;5615;5262;;
0;-157.5;;;;;2008;1987;;;25230;24375;;
5;-157.5;;;;;1954;1933;;;24589;23754;;
10;-157.5;;;;;1889;1868;;;23808;22997;;
15;-157.5;;;;;1813;1792;;;22904;22120;;
20;-157.5;;;;;1729;1707;;;21871;21117;;
25;-157.5;;;;;1637;1615;;;20739;20017;;
30;-157.5;;;;;1539;1515;;;19511;18825;;
35;-157.5;;;;;1438;1412;;;18226;17574;;
40;-157.5;;;;;1334;1306;;;16902;16284;;
45;-157.5;;;;;1231;1203;;;15598;15013;;
50;-157.5;;;;;1132;1105;;;14372;13819;;
55;-157.5;;;;;1038;1014;;;13226;12702;;
60;-157.5;;;;;950.0;927.6;;;12126;11629;;
65;-157.5;;;;;866.1;844.7;;;11066;10595;;
70;-157.5;;;;;786.2;766.0;;;10053;9605;;
75;-157.5;;;;;711.2;693.0;;;9105;8678;;
80;-157.5;;;;;642.4;626.4;;;8233;7826;;
85;-157.5;;;;;582.6;568.0;;;7464;7073;;
90;-157.5;;;;;529.2;515.4;;;6765;6389;;
0;-135;;;;;2008;1987;;;25230;24375;;
5;-135;;;;;1967;1946;;;24746;23905;;
10;-135;;;;;1915;1895;;;24131;23308;;
15;-135;;;;;1855;1834;;;23406;22605;;
20;-135;;;;;1786;1766;;;22575;21797;;
25;-135;;;;;1713;1693;;;21682;20929;;
30;-135;;;;;1634;1613;;;20712;19986;;
35;-135;;;;;1553;1533;;;19718;19019;;
40;-135;;;;;1470;1449;;;18686;18014;;
45;-135;;;;;1386;1366;;;17656;17013;;
50;-135;;;;;1304;1283;;;16626;16010;;
55;-135;;;;;1222;1202;;;15604;15015;;
60;-135;;;;;1141;1122;;;14604;14041;;
65;-135;;;;;1063;1045;;;13626;13088;;
70;-135;;;;;987.7;969.7;;;12675;12161;;
75;-135;;;;;915.0;897.9;;;11758;11267;;
80;-135;;;;;845.5;828.5;;;10868;10398;;
85;-135;;;;;777.2;761.4;;;10001;9552;;
90;-135;;;;;711.9;695.8;;;9146;8716;;
0;-112.5;;;;;2008;1987;;;25230;24375;;
5;-112.5;;;;;1986;1965;;;24973;24124;;
10;-112.5;;;;;1954;1933;;;24588;23749;;
15;-112.5;;;;;1914;1894;;;24111;23285;;
20;-112.5;;;;;1867;1848;;;23544;22733;;
25;-112.5;;;;;1816;1797;;;22919;22124;;
30;-112.5;;;;;1759;1740;;;22221;21445;;
35;-112.5;;;;;1699;1681;;;21500;20743;;
40;-112.5;;;;;1636;1617;;;20723;19987;;
45;-112.5;;;;;1569;1551;;;19913;19199;;
50;-112.5;;;;;1502;1485;;;19103;18411;;
55;-112.5;;;;;1433;1415;;;18242;17573;;
60;-112.5;;;;;1361;1345;;;17378;16733;;
65;-112.5;;;;;1289;1273;;;16480;15860;;
70;-112.5;;;;;1216;1199;;;15573;14978;;
75;-112.5;;;;;1142;1126;;;14657;14087;;
80;-112.5;;;;;1066;1050;;;13707;13161;;
85;-112.5;;;;;990.9;975.7;;;12767;12247;;
90;-112.5;;;;;916.7;900.2;;;11808;11312;;
0;-90;;;;;2008;1987;;;25230;24375;;
5;-90;;;;;2009;1988;;;25238;24380;;
10;-90;;;;;1998;1977;;;25109;24253;;
15;-90;;;;;1980;1961;;;24899;24046;;
20;-90;;;;;1955;1936;;;24593;23746;;
25;-90;;;;;1922;1904;;;24181;23343;;
30;-90;;;;;1885;1868;;;23739;22912;;
35;-90;;;;;1842;1825;;;23214;22400;;
40;-90;;;;;1793;1775;;;22600;21802;;
45;-90;;;;;1739;1723;;;21966;21185;;
50;-90;;;;;1681;1665;;;21273;20511;;
55;-90;;;;;1619;1602;;;20504;19764;;
60;-90;;;;;1551;1535;;;19690;18973;;
65;-90;;;;;1479;1465;;;18842;18150;;
70;-90;;;;;1407;1392;;;17955;17288;;
75;-90;;;;;1331;1314;;;17003;16364;;
80;-90;;;;;1247;1233;;;16009;15397;;
85;-90;;;;;1165;1151;;;14997;14415;;
90;-90;;;;;1085;1068;;;13961;13407;;
0;-67.5;;;;;2008;1987;;;25230;24375;;
5;-67.5;;;;;2031;2010;;;25502;24635;;
10;-67.5;;;;;2041;2021;;;25627;24754;;
15;-67.5;;;;;2042;2023;;;25639;24762;;
20;-67.5;;;;;2035;2017;;;25552;24674;;
25;-67.5;;;;;2020;2003;;;25367;24491;;
30;-67.5;;;;;1997;1978;;;25063;24193;;
35;-67.5;;;;;1963;1944;;;24640;23780;;
40;-67.5;;;;;1922;1906;;;24179;23331;;
45;-67.5;;;;;1876;1861;;;23643;22810;;
50;-67.5;;;;;1823;1805;;;22966;22152;;
55;-67.5;;;;;1760;1742;;;22217;21425;;
60;-67.5;;;;;1690;1675;;;21418;20649;;
65;-67.5;;;;;1618;1602;;;20548;19804;;
70;-67.5;;;;;1540;1523;;;19604;18889;;
75;-67.5;;;;;1456;1439;;;18592;17907;;
80;-67.5;;;;;1368;1352;;;17524;16871;;
85;-67.5;;;;;1276;1261;;;16413;15793;;
90;-67.5;;;;;1185;1167;;;15258;14670;;
0;-45;;;;;2008;1987;;;25230;24375;;
5;-45;;;;;2049;2029;;;25723;24850;;
10;-45;;;;;2078;2058;;;26065;25178;;
15;-45;;;;;2095;2076;;;26272;25375;;
20;-45;;;;;2102;2083;;;26345;25443;;
25;-45;;;;;2096;2078;;;26266;25364;;
30;-45;;;;;2080;2063;;;26090;25190;;
35;-45;;;;;2055;2039;;;25809;24916;;
40;-45;;;;;2021;2004;;;25393;24512;;
45;-45;;;;;1974;1957;;;24843;23978;;
50;-45;;;;;1919;1902;;;24194;23348;;
55;-45;;;;;1854;1837;;;23428;22606;;
60;-45;;;;;1781;1764;;;22568;21772;;
65;-45;;;;;1701;1684;;;21622;20855;;
70;-45;;;;;1614;1596;;;20575;19840;;
75;-45;;;;;1520;1502;;;19449;18749;;
80;-45;;;;;1422;1404;;;18250;17585;;
85;-45;;;;;1321;1302;;;16998;16370;;
90;-45;;;;;1216;1196;;;15685;15095;;
0;-22.5;;;;;2008;1987;;;25230;24375;;
5;-22.5;;;;;2061;2041;;;25867;24989;;
10;-22.5;;;;;2102;2083;;;26353;25458;;
15;-22.5;;;;;2129;2111;;;26688;25780;;
20;-22.5;;;;;2145;2128;;;26880;25964;;
25;-22.5;;;;;2148;2131;;;26925;26006;;
30;-22.5;;;;;2139;2122;;;26824;25907;;
35;-22.5;;;;;2117;2100;;;26570;25660;;
40;-22.5;;;;;2083;2066;;;26182;25284;;
45;-22.5;;;;;2037;2020;;;25659;24778;;
50;-22.5;;;;;1980;1962;;;24992;24133;;
55;-22.5;;;;;1911;1894;;;24195;23361;;
60;-22.5;;;;;1833;1815;;;23278;22474;;
65;-22.5;;;;;1745;1727;;;22232;21461;;
70;-22.5;;;;;1649;1629;;;21072;20337;;
75;-22.5;;;;;1546;1525;;;19804;19107;;
80;-22.5;;;;;1435;1413;;;18438;17781;;
85;-22.5;;;;;1321;1296;;;16992;16375;;
90;-22.5;;;;;1203;1176;;;15479;14904;;
0;0;;;;;2008;1987;;;25230;24375;;
5;0;;;;;2065;2045;;;25908;25030;;
10;0;;;;;2109;2090;;;26437;25540;;
15;0;;;;;2140;2123;;;26811;25900;;
20;0;;;;;2159;2141;;;27028;26108;;
25;0;;;;;2164;2146;;;27087;26165;;
30;0;;;;;2155;2138;;;26996;26076;;
35;0;;;;;2134;2117;;;26760;25847;;
40;0;;;;;2100;2084;;;26381;25481;;
45;0;;;;;2054;2037;;;25854;24971;;
50;0;;;;;1996;1978;;;25177;24317;;
55;0;;;;;1926;1907;;;24354;23521;;
60;0;;;;;1844;1825;;;23394;22592;;
65;0;;;;;1752;1733;;;22298;21531;;
70;0;;;;;1651;1630;;;21068;20338;;
75;0;;;;;1542;1519;;;19717;19027;;
80;0;;;;;1424;1399;;;18243;17596;;
85;0;;;;;1301;1275;;;16687;16082;;
