Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;2008;1763;;;22529;21754;;
5;-180;;;;;1949;1701;;;21771;21020;;
10;-180;;;;;1879;1628;;;20876;20151;;
15;-180;;;;;1797;1545;;;19853;19157;;
20;-180;;;;;1706;1454;;;18724;18060;;
25;-180;;;;;1607;1356;;;17502;16871;;
30;-180;;;;;1499;1254;;;16220;15623;;
35;-180;;;;;1387;1152;;;14936;14371;;
40;-180;;;;;1272;1053;;;13683;13150;;
45;-180;;;;;1166;963.5;;;12556;12051;;
50;-180;;;;;1070;879.1;;;11489;11012;;
55;-180;;;;;977.8;797.7;;;10452;9998;;
60;-180;;;;;887.3;718.9;;;9436;9006;;
65;-180;;;;;799.7;643.1;;;8450;8042;;
70;-180;;;;;718.0;573.0;;;7528;7139;;
75;-180;;;;;642.4;511.1;;;6705;6333;;
80;-180;;;;;571.4;456.6;;;5975;5615;;
85;-180;;;;;505.5;408.5;;;5325;4976;;
90;-180;;;;;446.2;365.4;;;4741;4401;;
0;-157.5;;;;;2008;1763;;;22529;21754;;
5;-157.5;;;;;1954;1706;;;21845;21091;;
10;-157.5;;;;;1889;1640;;;21031;20301;;
15;-157.5;;;;;1813;1564;;;20107;19403;;
20;-157.5;;;;;1729;1481;;;19079;18404;;
25;-157.5;;;;;1637;1392;;;17974;17329;;
30;-157.5;;;;;1539;1299;;;16813;16199;;
35;-157.5;;;;;1438;1206;;;15643;15058;;
40;-157.5;;;;;1334;1114;;;14481;13926;;
45;-157.5;;;;;1231;1026;;;13359;12831;;
50;-157.5;;;;;1132;941.9;;;12299;11798;;
55;-157.5;;;;;1038;863.1;;;11296;10819;;
60;-157.5;;;;;950.0;788.0;;;10333;9878;;
65;-157.5;;;;;866.1;717.0;;;9415;8982;;
70;-157.5;;;;;786.2;650.5;;;8548;8134;;
75;-157.5;;;;;711.2;589.1;;;7741;7344;;
80;-157.5;;;;;642.4;532.6;;;6995;6613;;
85;-157.5;;;;;582.6;482.8;;;6331;5962;;
90;-157.5;;;;;529.2;437.4;;;5722;5365;;
0;-135;;;;;2008;1763;;;22529;21754;;
5;-135;;;;;1967;1721;;;22023;21263;;
10;-135;;;;;1915;1670;;;21408;20666;;
15;-135;;;;;1855;1612;;;20704;19982;;
20;-135;;;;;1786;1548;;;19917;19215;;
