Tilt;Azimuth;Pitch;GCR;Height;TrackPlaneTilt;GlobInc;GlobEff;ShdLoss;ShdElec;EArray;E_Grid;E_User;
0;-180;;;;;2008;1938;;;24634;23796;;
5;-180;;;;;1949;1878;;;23913;23097;;
10;-180;;;;;1879;1806;;;23046;22258;;
15;-180;;;;;1797;1723;;;22039;21280;;
20;-180;;;;;1706;1631;;;20905;20179;;
25;-180;;;;;1607;1529;;;19644;18954;;
30;-180;;;;;1499;1419;;;18280;17628;;
35;-180;;;;;1387;1307;;;16874;16258;;
40;-180;;;;;1272;1197;;;15486;14906;;
45;-180;;;;;1166;1098;;;14250;13702;;
50;-180;;;;;1070;1005;;;13086;12570;;
55;-180;;;;;977.8;914.4;;;11949;11461;;
60;-180;;;;;887.3;826.5;;;10830;10369;;
65;-180;;;;;799.7;741.3;;;9734;9298;;
70;-180;;;;;718.0;660.9;;;8688;8276;;
75;-180;;;;;642.4;587.4;;;7723;7331;;
80;-180;;;;;571.4;520.8;;;6838;6464;;
85;-180;;;;;505.5;461.9;;;6049;5689;;
90;-180;;;;;446.2;411.4;;;5367;5018;;
0;-157.5;;;;;2008;1938;;;24634;23796;;
5;-157.5;;;;;1954;1883;;;23980;23163;;
10;-157.5;;;;;1889;1817;;;23186;22393;;
15;-157.5;;;;;1813;1741;;;22269;21503;;
20;-157.5;;;;;1729;1656;;;21226;20490;;
25;-157.5;;;;;1637;1562;;;20082;19378;;
30;-157.5;;;;;1539;1463;;;18850;18180;;
35;-157.5;;;;;1438;1361;;;17577;16941;;
40;-157.5;;;;;1334;1258;;;16289;15686;;
45;-157.5;;;;;1231;1158;;;15034;14463;;
50;-157.5;;;;;1132;1065;;;13852;13311;;
55;-157.5;;;;;1038;976.4;;;12739;12227;;
60;-157.5;;;;;950.0;892.1;;;11668;11182;;
65;-157.5;;;;;866.1;811.8;;;10640;10179;;
70;-157.5;;;;;786.2;736.0;;;9662;9223;;
75;-157.5;;;;;711.2;665.9;;;8750;8331;;
80;-157.5;;;;;642.4;601.8;;;7910;7509;;
85;-157.5;;;;;582.6;545.6;;;7167;6782;;
90;-157.5;;;;;529.2;494.7;;;6490;6118;;
0;-135;;;;;2008;1938;;;24634;23796;;
5;-135;;;;;1967;1897;;;24145;23321;;
10;-135;;;;;1915;1845;;;23529;22724;;
15;-135;;;;;1855;1786;;;22808;22023;;
20;-135;;;;;1786;1718;;;21984;21222;;
25;-135;;;;;1713;1646;;;21101;20363;;
30;-135;;;;;1634;1568;;;20141;19430;;
35;-135;;;;;1553;1488;;;19158;18474;;
40;-135;;;;;1470;1406;;;18141;17484;;
45;-135;;;;;1386;1324;;;17127;16498;;
50;-135;;;;;1304;1243;;;16118;15515;;
55;-135;;;;;1222;1163;;;15118;14541;;
60;-135;;;;;1141;1086;;;14144;13592;;
65;-135;;;;;1063;1011;;;13189;12662;;
70;-135;;;;;987.7;937.7;;;12262;11758;;
75;-135;;;;;915.0;867.6;;;11365;10883;;
80;-135;;;;;845.5;799.9;;;10494;10033;;
85;-135;;;;;777.2;734.1;;;9643;9201;;
90;-135;;;;;711.9;669.8;;;8804;8382;;
0;-112.5;;;;;2008;1938;;;24634;23796;;
5;-112.5;;;;;1986;1916;;;24381;23549;;
10;-112.5;;;;;1954;1885;;;24009;23187;;
15;-112.5;;;;;1914;1847;;;23548;22738;;
20;-112.5;;;;;1867;1803;;;23001;22206;;
25;-112.5;;;;;1816;1753;;;22396;21617;;
30;-112.5;;;;;1759;1698;;;21720;20958;;
35;-112.5;;;;;1699;1641;;;21015;20272;;
40;-112.5;;;;;1636;1579;;;20256;19533;;
45;-112.5;;;;;1569;1515;;;19462;18760;;
50;-112.5;;;;;1502;1450;;;18663;17983;;
55;-112.5;;;;;1433;1381;;;17817;17160;;
60;-112.5;;;;;1361;1312;;;16964;16330;;
65;-112.5;;;;;1289;1240;;;16076;15467;;
70;-112.5;;;;;1216;1168;;;15182;14597;;
75;-112.5;;;;;1142;1096;;;14274;13713;;
80;-112.5;;;;;1066;1021;;;13331;12795;;
85;-112.5;;;;;990.9;946.8;;;12397;11886;;
90;-112.5;;;;;916.7;872.1;;;11445;10958;;
0;-90;;;;;2008;1938;;;24634;23796;;
5;-90;;;;;2009;1939;;;24652;23812;;
